Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Tyler Eifert,TE,Notre Dame,College Stats,6-5,250,4.68,35.5,22,119,6.92,4.32,Cincinnati Bengals / 1st / 21st pick /2013
Andre Ellington,RB,Clemson,College Stats,5-9,199,4.61,34.0,,122,,,Arizona Cardinals / 6th / 187th pick /2013
Zach Ertz,TE,Stanford,College Stats,6-5,249,4.76,30.5,24,111,7.08,4.47,Philadelphia Eagles / 2nd / 35th pick /2013
Gavin Escobar,TE,San Diego State,College Stats,6-6,254,4.84,32.0,,114,7.07,4.31,Dallas Cowboys / 2nd / 47th pick /2013
Joseph Fauria,TE,UCLA,College Stats,6-7,259,4.82,,17,,,,
Michael Ford,RB,LSU,College Stats,5-9,210,4.50,38.5,25,130,6.87,4.25,
Johnathan Franklin,RB,UCLA,College Stats,5-10,205,4.49,31.5,18,115,6.89,4.31,Green Bay Packers / 4th / 125th pick /2013
Corey Fuller,WR,Virginia Tech,College Stats,6-2,204,4.43,31.5,12,120,,,Detroit Lions / 6th / 171st pick /2013
Mike Gillislee,RB,Florida,College Stats,5-11,208,4.55,30.5,15,119,7.12,4.40,Miami Dolphins / 5th / 164th pick /2013
Mike Glennon,QB,North Carolina State,College Stats,6-7,225,4.94,26.5,,102,7.49,4.52,Tampa Bay Buccaneers / 3rd / 73rd pick /2013
Marquise Goodwin,WR,Texas,College Stats,5-9,183,4.27,,13,132,,,Buffalo Bills / 3rd / 78th pick /2013
Chris Gragg,TE,Arkansas,College Stats,6-3,244,4.50,37.5,18,125,7.08,4.51,Buffalo Bills / 7th / 222nd pick /2013
Ray Graham,RB,Pittsburgh,College Stats,5-9,199,4.80,32.5,18,112,7.17,4.21,
MarQueis Gray,QB,Minnesota,College Stats,6-3,240,4.65,30.0,15,111,7.25,4.30,
Cobi Hamilton,WR,Arkansas,College Stats,6-2,212,4.56,29.5,11,107,,4.31,Cincinnati Bengals / 6th / 197th pick /2013
Chris Harper,WR,Kansas State,College Stats,6-1,229,4.55,35.5,20,116,6.89,4.39,Seattle Seahawks / 4th / 123rd pick /2013
DeAndre Hopkins,WR,Clemson,College Stats,6-1,214,4.57,36.0,15,115,,4.50,Houston Texans / 1st / 27th pick /2013
Justin Hunter,WR,Tennessee,College Stats,6-4,196,4.44,39.5,,136,,4.33,Tennessee Titans / 2nd / 34th pick /2013
Mike James,RB,Miami (FL),College Stats,5-10,223,4.53,35.0,28,115,,4.62,Tampa Bay Buccaneers / 6th / 189th pick /2013
D.C. Jefferson,TE,Rutgers,College Stats,6-6,255,4.97,,3,,,,Arizona Cardinals / 7th / 219th pick /2013
Darius Johnson,WR,SMU,College Stats,5-9,179,4.60,32.0,6,109,,4.53,
Josh Johnson,CB,Purdue,College Stats,5-9,199,4.65,35.0,16,114,6.99,4.25,
Landry Jones,QB,Oklahoma,College Stats,6-4,225,5.11,31.0,,115,7.12,4.30,Pittsburgh Steelers / 4th / 115th pick /2013
Nick Kasa,TE,Colorado,College Stats,6-6,269,4.71,31.5,22,113,,,Oakland Raiders / 6th / 172nd pick /2013
Travis Kelce,TE,Cincinnati,College Stats,6-5,255,4.63,,,,,,Kansas City Chiefs / 3rd / 63rd pick /2013
Tavarres King,WR,Georgia,College Stats,6-0,189,4.47,36.5,11,123,6.91,4.33,Denver Broncos / 5th / 161st pick /2013
Eddie Lacy,RB,Alabama,College Stats,5-11,231,4.55,,,,,,Green Bay Packers / 2nd / 61st pick /2013
Onterio McCalebb,RB,Auburn,College Stats,5-10,168,4.34,34.0,,121,,,
Vance McDonald,TE,Rice,College Stats,6-4,267,4.69,33.5,31,119,7.08,4.53,San Francisco 49ers / 2nd / 55th pick /2013
Christine Michael,RB,Texas A&M,College Stats,5-10,220,4.54,43.0,27,125,6.69,4.02,Seattle Seahawks / 2nd / 62nd pick /2013
Ryan Nassib,QB,Syracuse,College Stats,6-2,227,5.06,28.5,,105,7.34,4.53,New York Giants / 4th / 110th pick /2013
Chris Pantale,TE,Boston Col.,College Stats,6-5,254,4.99,33.5,17,110,7.48,4.50,
Quinton Patton,WR,Louisiana Tech,College Stats,6-0,204,4.53,33.0,8,118,6.91,4.01,San Francisco 49ers / 4th / 128th pick /2013
Joseph Randle,RB,Oklahoma State,College Stats,6-0,204,4.63,35.0,,123,,,Dallas Cowboys / 5th / 151st pick /2013
Jordan Reed,TE,Florida,College Stats,6-2,236,4.72,,16,,,,Washington Redskins / 3rd / 85th pick /2013
Sean Renfree,QB,Duke,College Stats,6-3,219,4.76,,,,,,Atlanta Falcons / 7th / 249th pick /2013
Theo Riddick,RB,Notre Dame,College Stats,5-10,201,4.68,32.0,,118,,,Detroit Lions / 6th / 199th pick /2013
Mychal Rivera,TE,Tennessee,College Stats,6-3,242,4.81,31.0,17,112,7.17,4.43,Oakland Raiders / 6th / 184th pick /2013
Denard Robinson,WR,Michigan,College Stats,5-10,199,4.43,36.5,,123,7.09,4.22,Jacksonville Jaguars / 5th / 135th pick /2013
Da'Rick Rogers,WR,Tennessee Tech,,6-2,217,4.50,39.5,10,132,6.71,4.06,
Ace Sanders,WR,South Carolina,College Stats,5-7,173,4.58,32.0,7,117,6.81,4.37,Jacksonville Jaguars / 4th / 101st pick /2013
Dion Sims,TE,Michigan State,College Stats,6-5,262,4.75,35.0,22,112,7.36,4.52,Miami Dolphins / 4th / 106th pick /2013
Geno Smith,QB,West Virginia,College Stats,6-2,218,4.58,33.5,,124,,,New York Jets / 2nd / 39th pick /2013
Rodney Smith,WR,Florida State,College Stats,6-4,225,4.51,34.5,,120,7.03,4.07,
Ryan Spadola,WR,Lehigh,,6-1,204,4.48,33.5,15,119,6.72,4.07,
Zac Stacy,RB,Vanderbilt,College Stats,5-8,216,4.55,33.0,27,122,6.70,4.17,St. Louis Rams / 5th / 160th pick /2013
Jonathan Stewart,ILB,Texas A&M,College Stats,6-4,242,4.68,31.0,19,118,7.44,4.53,
Kenny Stills,WR,Oklahoma,College Stats,6-0,194,4.38,33.5,16,124,,4.35,New Orleans Saints / 5th / 144th pick /2013
Jake Stoneburner,TE,Ohio State,College Stats,6-3,252,4.65,34.5,18,116,7.12,4.27,
Stepfan Taylor,RB,Stanford,College Stats,5-9,214,4.76,30.0,17,110,7.13,4.50,Arizona Cardinals / 5th / 140th pick /2013
Kenbrell Thompkins,WR,Cincinnati,College Stats,6-1,193,4.54,33.5,8,121,6.88,4.21,
Chris Thompson,RB,Florida State,College Stats,5-7,192,4.42,,21,,,,Washington Redskins / 5th / 154th pick /2013
Levine Toilolo,TE,Stanford,College Stats,6-8,260,4.86,31.0,17,113,7.09,4.57,Atlanta Falcons / 4th / 133rd pick /2013
Matthew Tucker,RB,TCU,College Stats,6-0,221,4.55,35.5,17,118,,,
Spencer Ware,RB,LSU,College Stats,5-10,228,4.62,,,,,,Seattle Seahawks / 6th / 194th pick /2013
Markus Wheaton,WR,Oregon State,College Stats,5-11,189,4.45,37.0,20,120,6.80,4.02,Pittsburgh Steelers / 3rd / 79th pick /2013
Brandon Williams,DT,Missouri Southern,,6-1,335,5.37,29.5,38,102,8.09,4.91,Baltimore Ravens / 3rd / 94th pick /2013
Duke Williams,S,Nevada,College Stats,5-11,203,4.48,37.5,13,126,,4.00,Buffalo Bills / 4th / 105th pick /2013
Kerwynn Williams,RB,Utah State,College Stats,5-8,195,4.48,35.0,17,118,7.15,4.15,Indianapolis Colts / 7th / 230th pick /2013
Terrance Williams,WR,Baylor,College Stats,6-2,208,4.52,32.5,11,119,7.01,4.32,Dallas Cowboys / 3rd / 74th pick /2013
Marquess Wilson,WR,Washington State,College Stats,6-3,194,4.51,34.5,7,122,6.65,4.33,Chicago Bears / 7th / 236th pick /2013
George Winn,RB,Cincinnati,College Stats,5-10,218,4.75,34.5,22,119,,,
Cierre Wood,RB,Notre Dame,College Stats,5-11,213,4.56,37.5,16,124,,,
Robert Woods,WR,USC,College Stats,6-0,201,4.51,33.5,14,117,7.15,4.47,Buffalo Bills / 2nd / 41st pick /2013
