Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Dak Prescott,QB,Mississippi State,College Stats,6-2,226,4.79,32.5,,116,7.11,4.32,Dallas Cowboys / 4th / 135th pick /2016
C.J. Prosise,RB,Notre Dame,College Stats,6-0,220,4.48,35.5,,121,,,Seattle Seahawks / 3rd / 90th pick /2016
Demarcus Robinson,WR,Florida,College Stats,6-1,203,4.59,34.5,,123,6.77,4.19,Kansas City Chiefs / 4th / 126th pick /2016
Alonzo Russell,WR,Toledo,College Stats,6-4,206,4.54,29.5,12,112,7.18,4.33,
Rashawn Scott,WR,Miami (FL),College Stats,6-1,199,4.54,32.5,17,116,,,
Hunter Sharp,WR,Utah State,College Stats,5-11,198,4.58,32.5,12,116,7.12,4.19,
Tajae Sharpe,WR,Massachusetts,College Stats,6-2,194,4.55,33.5,11,114,,,Tennessee Titans / 5th / 140th pick /2016
Sterling Shepard,WR,Oklahoma,College Stats,5-10,194,4.48,41.0,20,123,7.00,4.35,New York Giants / 2nd / 40th pick /2016
Wendell Smallwood,RB,West Virginia,College Stats,5-10,208,4.47,33.5,14,120,6.83,4.28,Philadelphia Eagles / 5th / 153rd pick /2016
Nate Sudfeld,QB,Indiana,College Stats,6-6,234,5.02,29.0,,105,,,Washington Redskins / 6th / 187th pick /2016
Michael Thomas,WR,Ohio State,College Stats,6-3,212,4.57,35.0,18,126,6.80,4.13,New Orleans Saints / 2nd / 47th pick /2016
Laquon Treadwell,WR,Mississippi,College Stats,6-2,221,4.52,33.0,12,117,,,Minnesota Vikings / 1st / 23rd pick /2016
Nick Vannett,TE,Ohio State,College Stats,6-6,257,4.76,30.5,17,111,7.05,4.20,Seattle Seahawks / 3rd / 94th pick /2016
Carson Wentz,QB,North Dakota State,,6-5,237,4.77,30.5,,118,6.86,4.15,Philadelphia Eagles / 1st / 2nd pick /2016
Brandon Wilds,RB,South Carolina,College Stats,6-1,220,4.54,36.5,21,118,7.08,4.33,
Brandon Williams,CB,Texas A&M,College Stats,5-11,197,4.37,30.5,18,118,6.85,4.19,Arizona Cardinals / 3rd / 92nd pick /2016
Duke Williams,WR,Auburn,College Stats,6-2,229,4.72,30.0,14,121,7.43,4.47,
Jonathan Williams,RB,Arkansas,College Stats,5-11,220,4.56,,16,,,,Buffalo Bills / 5th / 156th pick /2016
