Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Marvin Mims,WR,Oklahoma,College Stats,5-11,183,4.38,39.5,,129,6.90,,Denver Broncos / 2nd / 63rd pick /2023
Jonathan Mingo,WR,Mississippi,College Stats,6-2,220,4.46,39.5,22,129,,,Carolina Panthers / 2nd / 39th pick /2023
Keaton Mitchell,RB,East Carolina,College Stats,5-8,179,4.37,38.0,,126,,,
Jalen Moreno-Cropper,WR,Fresno St.,,5-11,172,4.40,,,121,,,
Luke Musgrave,TE,Oregon St.,College Stats,6-6,253,,36.0,,125,,,Green Bay Packers / 2nd / 42nd pick /2023
Puka Nacua,WR,BYU,College Stats,6-2,201,,,,,,,Los Angeles Rams / 5th / 177th pick /2023
Aidan O'Connell,QB,Purdue,College Stats,6-3,213,,,,,,,Las Vegas Raiders / 4th / 135th pick /2023
Trey Palmer,WR,Nebraska,College Stats,6-0,192,4.33,,,,,,Tampa Bay Buccaneers / 6th / 191st pick /2023
A.T. Perry,WR,Wake Forest,College Stats,6-4,198,4.47,35.0,,133,,,New Orleans Saints / 6th / 195th pick /2023
Deneric Prince,RB,Tulsa,College Stats,6-0,216,4.41,35.5,,124,,,
Jayden Reed,WR,Michigan St.,College Stats,5-11,187,4.45,33.5,,121,,4.29,Green Bay Packers / 2nd / 50th pick /2023
Rashee Rice,WR,SMU,College Stats,6-1,204,4.51,41.0,,128,,,Kansas City Chiefs / 2nd / 55th pick /2023
Anthony Richardson,QB,Florida,College Stats,6-4,244,4.43,40.5,,129,,,Indianapolis Colts / 1st / 4th pick /2023
Bijan Robinson,RB,Texas,College Stats,5-11,215,4.46,37.0,,124,,,Atlanta Falcons / 1st / 8th pick /2023
Luke Schoonmaker,TE,Michigan,College Stats,6-5,251,,33.5,,127,,4.27,Dallas Cowboys / 2nd / 58th pick /2023
Tyler Scott,WR,Cincinnati,College Stats,5-10,177,4.44,39.5,,133,,,Chicago Bears / 4th / 133rd pick /2023
Justin Shorter,WR,Florida,College Stats,6-4,229,4.55,35.5,18,126,,,Buffalo Bills / 5th / 150th pick /2023
Jaxon Smith-Njigba,WR,Ohio St.,College Stats,6-1,196,,35.0,,125,6.57,3.93,Seattle Seahawks / 1st / 20th pick /2023
Tyjae Spears,RB,Tulane,College Stats,5-10,201,,39.0,,125,,,Tennessee Titans / 3rd / 81st pick /2023
Brenton Strange,TE,Penn St.,College Stats,6-4,253,,36.0,23,124,7.25,4.46,Jacksonville Jaguars / 2nd / 61st pick /2023
C.J. Stroud,QB,Ohio St.,College Stats,6-3,214,,,,,,,Houston Texans / 1st / 2nd pick /2023
Leonard Taylor,TE,Cincinnati,College Stats,6-5,250,,,,,,,
SaRodorick Thompson,RB,Texas Tech,College Stats,6-0,207,4.67,32.5,,120,7.25,4.70,
Dorian Thompson-Robinson,QB,UCLA,College Stats,6-2,203,4.56,32.5,,121,7.28,4.44,Cleveland Browns / 5th / 140th pick /2023
Cedric Tillman,WR,Tennessee,College Stats,6-3,213,4.54,37.0,,128,,,Cleveland Browns / 3rd / 74th pick /2023
Mitchell Tinsley,WR,Penn St.,College Stats,6-0,199,4.60,35.5,14,120,,4.21,
Sean Tucker,RB,Syracuse,College Stats,5-9,207,,,,,,,
Tre Tucker,WR,Cincinnati,College Stats,5-9,182,4.40,37.5,,124,,,Las Vegas Raiders / 3rd / 100th pick /2023
Clayton Tune,QB,Houston,College Stats,6-3,220,4.64,37.5,,122,6.89,4.25,Arizona Cardinals / 5th / 139th pick /2023
DJ Turner,CB,Michigan,College Stats,5-11,178,4.26,38.5,,131,,,Cincinnati Bengals / 2nd / 60th pick /2023
Deuce Vaughn,RB,Kansas St.,College Stats,5-5,179,,35.5,,116,,,Dallas Cowboys / 6th / 212th pick /2023
Travis Vokolek,TE,Nebraska,College Stats,6-6,259,,,20,115,,,
Darnell Washington,TE,Georgia,College Stats,6-7,264,,31.0,21,122,,4.08,Pittsburgh Steelers / 3rd / 93rd pick /2023
Parker Washington,WR,Penn St.,College Stats,5-10,204,,,16,,,,Jacksonville Jaguars / 6th / 185th pick /2023
Blake Whiteheart,TE,Wake Forest,College Stats,6-4,247,,35.5,20,115,,,
Josh Whyle,TE,Cincinnati,College Stats,6-7,248,,33.5,,115,,,Tennessee Titans / 5th / 147th pick /2023
Dontayvion Wicks,WR,Virginia,College Stats,6-1,206,4.62,39.0,,130,,,Green Bay Packers / 5th / 159th pick /2023
Brayden Willis,TE,Oklahoma,College Stats,6-4,241,,32.0,20,117,7.30,4.36,San Francisco 49ers / 7th / 247th pick /2023
Michael Wilson,WR,Stanford,College Stats,6-2,213,4.58,37.5,23,125,,4.27,Arizona Cardinals / 3rd / 94th pick /2023
Bryce Young,QB,Alabama,College Stats,5-10,204,,,,,,,Carolina Panthers / 1st / 1st pick /2023
