Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jeff Heuerman,TE,Ohio State,College Stats,6-5,254,4.81,,26,,,,Denver Broncos / 3rd / 92nd pick /2015
Brett Hundley,QB,UCLA,College Stats,6-3,226,4.63,36.0,,120,6.93,3.98,Green Bay Packers / 5th / 147th pick /2015
Jesse James,TE,Penn State,College Stats,6-7,261,4.83,37.5,26,121,7.53,4.50,Pittsburgh Steelers / 5th / 160th pick /2015
David Johnson,RB,New Mexico,,6-1,224,4.50,41.5,25,127,6.82,4.27,Arizona Cardinals / 3rd / 86th pick /2015
Duke Johnson,RB,Miami (FL),College Stats,5-9,207,4.54,33.5,,121,,,Cleveland Browns / 3rd / 77th pick /2015
Kevin Johnson,CB,Wake Forest,College Stats,6-0,188,4.52,41.5,,130,6.79,3.89,Houston Texans / 1st / 16th pick /2015
Matt Jones,RB,Florida,College Stats,6-2,231,4.61,31.5,20,112,,4.20,Washington Redskins / 3rd / 95th pick /2015
Taiwan Jones,ILB,Michigan State,College Stats,6-3,245,4.95,32.0,19,115,7.25,4.33,
Ben Koyack,TE,Notre Dame,College Stats,6-5,255,4.79,,,,,,Jacksonville Jaguars / 7th / 229th pick /2015
Tyler Kroft,TE,Rutgers,College Stats,6-5,246,4.75,,17,,,,Cincinnati Bengals / 3rd / 85th pick /2015
Jeremy Langford,RB,Michigan State,College Stats,6-0,208,4.42,34.5,,118,7.22,4.32,Chicago Bears / 4th / 106th pick /2015
Tony Lippett,WR,Michigan State,College Stats,6-2,192,4.61,36.0,10,114,6.92,4.13,Miami Dolphins / 5th / 156th pick /2015
Tyler Lockett,WR,Kansas State,College Stats,5-10,182,4.40,35.5,,121,6.89,4.07,Seattle Seahawks / 3rd / 69th pick /2015
Terrence Magee,RB,LSU,College Stats,5-8,213,4.62,37.0,22,115,7.52,4.37,
Sean Mannion,QB,Oregon State,College Stats,6-6,229,5.14,31.0,,105,7.29,4.39,St. Louis Rams / 3rd / 89th pick /2015
Marcus Mariota,QB,Oregon,College Stats,6-4,222,4.52,36.0,,121,6.87,4.11,Tennessee Titans / 1st / 2nd pick /2015
Vince Mayle,WR,Washington State,College Stats,6-2,224,4.67,35.5,,117,6.93,4.13,Cleveland Browns / 4th / 123rd pick /2015
Tre McBride,WR,William & Mary,,6-0,210,4.41,38.0,16,122,6.96,4.08,Tennessee Titans / 7th / 245th pick /2015
Keith Mumphery,WR,Michigan State,College Stats,6-0,215,4.54,32.5,,121,7.07,4.25,Houston Texans / 5th / 175th pick /2015
Marcus Murphy,RB,Missouri,College Stats,5-9,198,4.61,29.0,11,109,,4.40,New Orleans Saints / 7th / 230th pick /2015
Nick O'Leary,TE,Florida State,College Stats,6-3,252,4.93,30.5,21,110,7.40,4.50,Buffalo Bills / 6th / 194th pick /2015
DeVante Parker,WR,Louisville,College Stats,6-3,209,4.45,36.5,17,125,,,Miami Dolphins / 1st / 14th pick /2015
Breshad Perriman,WR,Central Florida,College Stats,6-2,212,,,,,,,Baltimore Ravens / 1st / 26th pick /2015
Bryce Petty,QB,Baylor,College Stats,6-3,230,4.87,34.0,,121,6.91,4.13,New York Jets / 4th / 103rd pick /2015
MyCole Pruitt,TE,Southern Illinois,,6-2,251,4.58,38.0,17,118,7.25,4.37,Minnesota Vikings / 5th / 143rd pick /2015
Thomas Rawls,RB,Central Michigan,College Stats,5-9,215,4.65,35.5,15,116,,,
Josh Robinson,RB,Mississippi State,College Stats,5-8,217,4.70,32.0,21,113,,,Indianapolis Colts / 6th / 205th pick /2015
Wes Saxton,TE,South Alabama,College Stats,6-3,248,4.65,36.0,,119,7.29,4.49,
DeAndre Smelter,WR,Georgia Tech,College Stats,6-2,226,4.52,,,,,,San Francisco 49ers / 4th / 132nd pick /2015
Devin Smith,WR,Ohio State,College Stats,6-0,196,4.42,39.0,10,122,,4.15,New York Jets / 2nd / 37th pick /2015
Jaelen Strong,WR,Arizona State,College Stats,6-2,217,4.44,42.0,,123,,,Houston Texans / 3rd / 70th pick /2015
Randall Telfer,TE,USC,College Stats,6-4,250,4.83,,20,,,,Cleveland Browns / 6th / 198th pick /2015
Eric Tomlinson,TE,Texas-El Paso,College Stats,6-6,263,4.98,30.5,19,110,7.46,4.54,
Tyler Varga,FB,Yale,,5-11,222,4.69,,23,,,,
Clive Walford,TE,Miami (FL),College Stats,6-4,251,4.79,35.0,20,120,7.32,4.57,Oakland Raiders / 3rd / 68th pick /2015
Darren Waller,WR,Georgia Tech,College Stats,6-6,238,4.46,37.0,12,125,7.07,4.25,Baltimore Ravens / 6th / 204th pick /2015
Tony Washington,OLB,Oregon,College Stats,6-4,247,4.99,32.5,17,110,7.20,4.31,
DeAndrew White,WR,Alabama,College Stats,5-11,193,4.44,34.5,,118,6.97,4.18,
Kevin White,WR,West Virginia,College Stats,6-3,215,4.35,36.5,23,123,6.92,4.14,Chicago Bears / 1st / 7th pick /2015
Kevin White,CB,TCU,College Stats,5-9,183,4.63,35.5,18,121,,,
Karlos Williams,RB,Florida State,College Stats,6-1,230,4.48,33.5,16,117,7.16,4.46,Buffalo Bills / 5th / 155th pick /2015
Maxx Williams,TE,Minnesota,College Stats,6-4,249,4.78,34.5,17,117,7.30,4.37,Baltimore Ravens / 2nd / 55th pick /2015
Trey Williams,RB,Texas A&M,College Stats,5-7,195,4.49,33.5,18,119,6.84,4.12,
Jameis Winston,QB,Florida State,College Stats,6-4,231,4.97,28.5,,103,7.16,4.36,Tampa Bay Buccaneers / 1st / 1st pick /2015
T.J. Yeldon,RB,Alabama,College Stats,6-1,226,4.61,36.0,22,117,7.19,4.22,Jacksonville Jaguars / 2nd / 36th pick /2015
Zach Zenner,FB,South Dakota State,,5-11,223,4.60,41.0,25,121,7.08,4.14,
