Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Mike Sims-Walker,WR,Central Florida,College Stats,6-2,209,4.35,36.5,18,121,6.92,4.39,Jacksonville Jaguars / 3rd / 79th pick /2007
Kolby Smith,RB,Louisville,College Stats,5-11,220,4.50,38.0,18,114,7.22,4.34,Kansas City Chiefs / 5th / 148th pick /2007
Steve Smith,WR,USC,College Stats,6-0,197,4.44,38.0,,120,6.68,4.19,New York Giants / 2nd / 51st pick /2007
Troy Smith,QB,Ohio State,College Stats,6-0,225,4.72,,,,,,Baltimore Ravens / 5th / 174th pick /2007
Jason Snelling,FB,Virginia,College Stats,5-11,230,4.79,30.0,,111,7.06,4.37,Atlanta Falcons / 7th / 244th pick /2007
Matt Spaeth,TE,Minnesota,College Stats,6-7,270,4.83,,,,,,Pittsburgh Steelers / 3rd / 77th pick /2007
Isaiah Stanback,QB,Washington,College Stats,6-2,216,4.60,,22,,,,Dallas Cowboys / 4th / 103rd pick /2007
Drew Stanton,QB,Michigan State,College Stats,6-3,226,4.75,30.5,,108,6.77,4.41,Detroit Lions / 2nd / 43rd pick /2007
Syndric Steptoe,WR,Arizona,College Stats,5-9,194,4.59,33.0,17,,,,Cleveland Browns / 7th / 234th pick /2007
Chansi Stuckey,WR,Clemson,College Stats,5-11,197,4.56,35.0,,120,6.91,4.14,New York Jets / 7th / 235th pick /2007
Courtney Taylor,WR,Auburn,College Stats,6-2,204,4.50,36.0,,122,7.22,4.28,Seattle Seahawks / 6th / 197th pick /2007
Marcus Thomas,DT,Florida,College Stats,6-3,314,5.23,,27,,,,Denver Broncos / 4th / 121st pick /2007
Darius Walker,RB,Notre Dame,College Stats,5-10,206,4.55,40.5,19,123,7.18,4.39,
Paul Williams,WR,Fresno State,College Stats,6-1,205,4.45,38.5,,125,7.03,4.24,Tennessee Titans / 3rd / 80th pick /2007
Garrett Wolfe,RB,Northern Illinois,College Stats,5-7,186,4.39,35.5,22,116,6.69,4.08,Chicago Bears / 3rd / 93rd pick /2007
Dwayne Wright,RB,Fresno State,College Stats,5-11,228,4.66,34.0,14,115,7.23,4.43,Buffalo Bills / 4th / 111th pick /2007
DeShawn Wynn,RB,Florida,College Stats,5-10,232,4.47,31.5,,115,,,Green Bay Packers / 7th / 228th pick /2007
Selvin Young,RB,Texas,College Stats,5-11,207,4.58,,,,,,
