Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Zach Davidson,TE,Central Missouri St.,,6-6,245,4.58,37.5,17,117,6.95,4.19,
Sam Ehlinger,QB,Texas,College Stats,6-1,220,4.84,36.5,,114,7.15,4.44,Indianapolis Colts / 6th / 218th pick /2021
D'Wayne Eskridge,WR,West. Michigan,College Stats,5-8,190,4.38,35.0,,124,6.93,4.22,Seattle Seahawks / 2nd / 56th pick /2021
Travis Etienne,RB,Clemson,College Stats,5-10,215,4.45,33.5,18,128,,,Jacksonville Jaguars / 1st / 25th pick /2021
Chris Evans,RB,Michigan,College Stats,5-11,211,4.50,40.5,20,127,6.83,4.12,Cincinnati Bengals / 6th / 202nd pick /2021
Luke Farrell,TE,Ohio St.,College Stats,6-5,251,4.79,36.5,22,118,7.14,4.36,Jacksonville Jaguars / 5th / 145th pick /2021
Simi Fehoko,WR,Stanford,College Stats,6-3,222,4.44,34.5,16,120,6.78,4.26,Dallas Cowboys / 5th / 179th pick /2021
Demetric Felton,RB,UCLA,College Stats,5-8,189,4.55,,,,,,Cleveland Browns / 6th / 211th pick /2021
Justin Fields,QB,Ohio St.,College Stats,6-2,227,4.45,,,,,,Chicago Bears / 1st / 11th pick /2021
Dez Fitzpatrick,WR,Louisville,College Stats,6-1,208,4.43,35.0,,,7.09,4.26,Tennessee Titans / 4th / 109th pick /2021
Miller Forristall,TE,Alabama,College Stats,,,,,,,,,
Feleipe Franks,QB,Arkansas,College Stats,6-6,234,4.61,32.5,,117,7.16,4.22,
Pat Freiermuth,TE,Penn St.,College Stats,6-5,251,,,26,,,,Pittsburgh Steelers / 2nd / 55th pick /2021
Jake Funk,RB,Maryland,College Stats,5-10,204,4.49,38.0,22,122,6.71,4.12,Los Angeles Rams / 7th / 233rd pick /2021
Kenneth Gainwell,RB,Memphis,College Stats,,201,4.42,,21,,,,Philadelphia Eagles / 5th / 150th pick /2021
Noah Gray,TE,Duke,College Stats,6-3,240,4.55,35.0,15,115,6.83,4.37,Kansas City Chiefs / 5th / 162nd pick /2021
Jacob Harris,WR,Central Florida,College Stats,6-5,219,4.39,40.5,15,133,6.54,4.31,
Khalil Herbert,RB,Virginia Tech,College Stats,5-8,210,4.46,33.0,22,115,6.96,4.31,Chicago Bears / 6th / 217th pick /2021
Kylin Hill,RB,Mississippi St.,College Stats,5-10,214,4.51,36.0,22,122,7.13,4.35,Green Bay Packers / 7th / 256th pick /2021
Chuba Hubbard,RB,Oklahoma St.,College Stats,6-0,210,4.48,36.0,20,120,7.24,4.26,Carolina Panthers / 4th / 126th pick /2021
Deon Jackson,RB,Duke,College Stats,5-11,218,4.41,36.0,18,123,7.15,4.37,
Jermar Jefferson,RB,Oregon St.,College Stats,5-10,206,4.57,31.0,13,115,7.38,4.38,Detroit Lions / 7th / 257th pick /2021
Jerome Johnson,DL,Indiana,College Stats,6-2,296,5.12,27.5,21,113,7.70,4.66,
Josh Johnson,RB,La-Monroe,College Stats,5-8,209,4.61,35.5,22,115,7.16,4.40,
Patrick Johnson,DE,Tulane,College Stats,6-6,240,4.59,35.0,16,119,6.97,4.41,Philadelphia Eagles / 7th / 234th pick /2021
Jamal Jones,RB,Arkansas St.,College Stats,5-6,198,4.67,28.0,23,112,7.39,4.65,
Mac Jones,QB,Alabama,College Stats,6-2,217,4.72,32.0,,116,7.04,4.39,New England Patriots / 1st / 15th pick /2021
Brevin Jordan,TE,Miami (FL),College Stats,6-2,247,4.64,31.0,17,116,,,Houston Texans / 5th / 147th pick /2021
Terrace Marshall Jr.,WR,LSU,College Stats,6-2,205,4.40,39.0,19,125,,,
Hunter Kampmoyer,TE,Oregon,College Stats,6-4,243,4.83,31.0,21,113,7.28,4.54,
Trey Lance,QB,North Dakota St.,College Stats,6-3,224,,,,,,,San Francisco 49ers / 1st / 3rd pick /2021
Trevor Lawrence,QB,Clemson,College Stats,6-5,213,,,,,,,Jacksonville Jaguars / 1st / 1st pick /2021
Tre' McKitty,TE,Georgia,College Stats,6-4,247,,,,,,,Los Angeles Chargers / 3rd / 97th pick /2021
Racey McMath,WR,LSU,College Stats,6-2,217,4.36,34.0,,124,7.38,4.38,Tennessee Titans / 6th / 205th pick /2021
Davis Mills,QB,Stanford,College Stats,6-3,217,4.82,32.0,,110,6.95,4.40,Houston Texans / 3rd / 67th pick /2021
Dax Milne,WR,BYU,College Stats,,,4.54,31.0,14,114,,4.19,Washington Football Team / 7th / 258th pick /2021
Elijah Mitchell,RB,Louisiana,College Stats,5-10,201,4.38,37.5,17,128,6.94,4.19,San Francisco 49ers / 6th / 194th pick /2021
David Moore,QB,Central Michigan,College Stats,6-0,200,4.86,29.5,,112,7.62,4.75,
Elijah Moore,WR,Mississippi,College Stats,,,4.35,36.0,17,121,6.63,4.07,New York Jets / 2nd / 34th pick /2021
Rondale Moore,WR,Purdue,College Stats,5-7,180,4.28,42.5,,,6.65,4.06,Arizona Cardinals / 2nd / 49th pick /2021
Quintin Morris,TE,Bowling Green,College Stats,6-2,243,4.60,34.0,22,119,7.12,4.55,
Dazz Newsome,WR,North Carolina,College Stats,5-10,190,4.59,34.0,12,121,7.38,4.38,Chicago Bears / 6th / 221st pick /2021
Jaret Patterson,RB,Buffalo,College Stats,5-6,195,4.59,30.0,19,117,7.03,4.35,
Josh Pederson,TE,La-Monroe,College Stats,6-4,234,4.81,28.5,19,110,7.31,4.43,
Kyle Pitts,TE,Florida,College Stats,6-5,245,4.44,33.5,22,129,7.12,4.30,Atlanta Falcons / 1st / 4th pick /2021
Cornell Powell,WR,Clemson,College Stats,6-0,204,4.53,36.5,16,128,7.03,4.21,Kansas City Chiefs / 5th / 181st pick /2021
Trey Ragas,RB,Louisiana,,5-10,214,4.60,33.5,23,117,7.19,4.50,
Amari Rodgers,WR,Clemson,College Stats,5-9,212,4.52,33.0,19,121,7.07,4.31,Green Bay Packers / 3rd / 85th pick /2021
Larry Rountree,RB,Missouri,College Stats,,,4.62,30.0,,,6.96,,Los Angeles Chargers / 6th / 198th pick /2021
Mekhi Sargent,RB,Iowa,College Stats,5-8,208,4.62,33.5,,114,7.08,4.39,
Anthony Schwartz,WR,Auburn,College Stats,6-0,186,4.27,32.0,,123,7.13,4.25,Cleveland Browns / 3rd / 91st pick /2021
Trey Sermon,RB,Ohio St.,College Stats,6-0,215,4.57,37.0,,125,6.83,4.28,San Francisco 49ers / 3rd / 88th pick /2021
Ben Skowronek,WR,Notre Dame,College Stats,6-2,220,,,13,,,,
Brandon Smith,WR,Iowa,College Stats,6-1,218,4.62,39.5,,130,,,
Ihmir Smith-Marsette,WR,Iowa,College Stats,6-0,181,4.43,37.0,,124,7.00,4.20,Minnesota Vikings / 5th / 157th pick /2021
Marquez Stevenson,WR,Houston,College Stats,5-10,180,4.48,33.0,,122,6.76,4.14,Buffalo Bills / 6th / 203rd pick /2021
Rhamondre Stevenson,RB,Oklahoma,College Stats,5-11,231,4.64,31.5,15,112,7.09,4.15,New England Patriots / 4th / 120th pick /2021
Jack Stoll,TE,Nebraska,College Stats,6-3,247,4.60,31.5,16,119,6.86,4.32,
Dillon Stoner,WR,Oklahoma St.,College Stats,6-0,194,4.51,37.0,16,123,6.96,4.13,
Kadarius Toney,WR,Florida,College Stats,5-11,193,4.39,39.5,9,136,6.88,4.25,New York Giants / 1st / 20th pick /2021
Kyle Trask,QB,Florida,College Stats,6-5,236,5.10,31.5,,113,7.08,4.60,Tampa Bay Buccaneers / 2nd / 64th pick /2021
Tommy Tremble,TE,Notre Dame,College Stats,6-3,241,4.60,36.5,20,122,,,Carolina Panthers / 3rd / 83rd pick /2021
Tylan Wallace,WR,Oklahoma St.,College Stats,5-11,194,4.48,33.0,11,112,6.97,4.25,Baltimore Ravens / 4th / 131st pick /2021
Javonte Williams,RB,North Carolina,College Stats,5-9,212,4.55,36.0,22,123,6.97,4.09,Denver Broncos / 2nd / 35th pick /2021
Pooka Williams,RB,Kansas,College Stats,5-9,170,4.46,31.5,4,118,7.03,4.26,
Seth Williams,WR,Auburn,College Stats,6-3,211,4.49,37.0,12,124,7.20,4.43,Denver Broncos / 6th / 219th pick /2021
Zach Wilson,QB,BYU,College Stats,6-2,214,,,,,,,New York Jets / 1st / 2nd pick /2021
Brock Wright,TE,Notre Dame,College Stats,6-4,257,4.62,31.5,26,118,7.27,4.25,
Kenny Yeboah,TE,Mississippi,College Stats,6-3,250,,34.0,,116,,,
