Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2016*,Florida State,ACC,JR,RB,13,288,1765,6.1,19,135.8,33,488,14.8,1,37.5,321,2253,7.0,20,"H-10,AA",Dalvin Cook,,,,,,,,,,,,,,
2015*,Oklahoma,Big 12,FR,RB,13,113,753,6.7,7,57.9,28,356,12.7,4,27.4,141,1109,7.9,11,,Joe Mixon,,,,,,,,,,,,,,
2016*,Oklahoma,Big 12,SO,RB,12,187,1274,6.8,10,106.2,37,538,14.5,5,44.8,224,1812,8.1,15,,Joe Mixon,,,,,,,,,,,,,,
2015*,Tennessee,SEC,SO,RB,13,107,698,6.5,7,53.7,34,291,8.6,3,22.4,141,989,7.0,10,,Alvin Kamara,,,,,,,,,,,,,,
2016*,Tennessee,SEC,JR,RB,11,103,596,5.8,9,54.2,40,392,9.8,4,35.6,143,988,6.9,13,,Alvin Kamara,,,,,,,,,,,,,,
2013,Toledo,MAC,FR,RB,11,137,866,6.3,6,78.7,12,68,5.7,0,6.2,149,934,6.3,6,,Kareem Hunt,,,,,,,,,,,,,,
2014*,Toledo,MAC,SO,RB,10,205,1631,8.0,16,163.1,9,39,4.3,0,3.9,214,1670,7.8,16,,Kareem Hunt,,,,,,,,,,,,,,
2015*,Toledo,MAC,JR,RB,10,178,973,5.5,12,97.3,11,45,4.1,0,4.5,189,1018,5.4,12,,Kareem Hunt,,,,,,,,,,,,,,
2016*,Toledo,MAC,SR,RB,13,262,1475,5.6,10,113.5,41,403,9.8,1,31.0,303,1878,6.2,11,,Kareem Hunt,,,,,,,,,,,,,,
2014*,Texas,Big 12,FR,RB,7,15,73,4.9,0,10.4,1,7,7.0,0,1.0,16,80,5.0,0,,D'Onta Foreman,,,,,,,,,,,,,,
2015,Texas,Big 12,SO,RB,10,95,681,7.2,5,68.1,5,64,12.8,0,6.4,100,745,7.5,5,,D'Onta Foreman,,,,,,,,,,,,,,
2016,Texas,Big 12,JR,RB,11,323,2028,6.3,15,184.4,7,75,10.7,0,6.8,330,2103,6.4,15,"H-8,AA",D'Onta Foreman,,,,,,,,,,,,,,
2013*,Pitt,ACC,FR,RB,12,146,799,5.5,8,66.6,3,33,11.0,0,2.8,149,832,5.6,8,,James Conner,,,,,,,,,,,,,,
2014*,Pitt,ACC,SO,RB,13,298,1765,5.9,26,135.8,5,70,14.0,0,5.4,303,1835,6.1,26,,James Conner,,,,,,,,,,,,,,
2015*,Pitt,ACC,JR,RB,1,8,77,9.6,2,77.0,1,7,7.0,0,7.0,9,84,9.3,2,,James Conner,,,,,,,,,,,,,,
2016*,Pitt,ACC,JR,RB,13,216,1092,5.1,16,84.0,21,302,14.4,4,23.2,237,1394,5.9,20,,James Conner,,,,,,,,,,,,,,
2014*,Oklahoma,Big 12,FR,RB,13,263,1713,6.5,21,131.8,15,108,7.2,0,8.3,278,1821,6.6,21,,Samaje Perine,,,,,,,,,,,,,,
2015*,Oklahoma,Big 12,SO,RB,13,226,1349,6.0,16,103.8,15,107,7.1,1,8.2,241,1456,6.0,17,,Samaje Perine,,,,,,,,,,,,,,
2016*,Oklahoma,Big 12,JR,RB,10,196,1060,5.4,12,106.0,10,106,10.6,1,10.6,206,1166,5.7,13,,Samaje Perine,,,,,,,,,,,,,,
2015*,Utah,Pac-12,JR,RB,10,104,477,4.6,3,47.7,11,84,7.6,0,8.4,115,561,4.9,3,,Joe Williams,,,,,,,,,,,,,,
2016*,Utah,Pac-12,SR,RB,9,210,1407,6.7,10,156.3,9,107,11.9,0,11.9,219,1514,6.9,10,,Joe Williams,,,,,,,,,,,,,,
2013*,San Diego State,MWC,FR,RB,13,125,752,6.0,8,57.8,22,234,10.6,2,18.0,147,986,6.7,10,,Donnel Pumphrey,,,,,,,,,,,,,,
2014*,San Diego State,MWC,SO,RB,13,276,1867,6.8,20,143.6,23,160,7.0,0,12.3,299,2027,6.8,20,,Donnel Pumphrey,,,,,,,,,,,,,,
2015*,San Diego State,MWC,JR,RB,14,309,1653,5.3,17,118.1,28,416,14.9,3,29.7,337,2069,6.1,20,,Donnel Pumphrey,,,,,,,,,,,,,,
2016*,San Diego State,MWC,SR,RB,14,349,2133,6.1,17,152.4,27,231,8.6,0,16.5,376,2364,6.3,17,H-10,Donnel Pumphrey,,,,,,,,,,,,,,
2012*,BYU,Ind,FR,RB,13,166,775,4.7,12,59.6,27,315,11.7,1,24.2,193,1090,5.6,13,,Jamaal Williams,,,,,,,,,,,,,,
2013*,BYU,Ind,SO,RB,12,217,1233,5.7,7,102.8,18,125,6.9,0,10.4,235,1358,5.8,7,,Jamaal Williams,,,,,,,,,,,,,,
2014*,BYU,Ind,JR,RB,8,109,518,4.8,4,64.8,8,47,5.9,0,5.9,117,565,4.8,4,,Jamaal Williams,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jamaal Williams,,,,,,,,,,,,,,
2016*,BYU,Ind,SR,RB,10,234,1375,5.9,12,137.5,7,80,11.4,0,8.0,241,1455,6.0,12,,Jamaal Williams,,,,,,,,,,,,,,
2014*,Clemson,ACC,FR,RB,13,161,769,4.8,4,59.2,24,108,4.5,1,8.3,185,877,4.7,5,,Wayne Gallman,,,,,,,,,,,,,,
2015*,Clemson,ACC,SO,RB,14,283,1527,5.4,13,109.1,21,213,10.1,1,15.2,304,1740,5.7,14,,Wayne Gallman,,,,,,,,,,,,,,
2016*,Clemson,ACC,JR,RB,15,232,1133,4.9,17,75.5,20,152,7.6,0,10.1,252,1285,5.1,17,,Wayne Gallman,,,,,,,,,,,,,,
2014,South Florida,American,FR,RB,12,202,1041,5.2,9,86.8,21,160,7.6,0,13.3,223,1201,5.4,9,,Marlon Mack,,,,,,,,,,,,,,
2015*,South Florida,American,SO,RB,12,210,1381,6.6,8,115.1,16,111,6.9,1,9.3,226,1492,6.6,9,,Marlon Mack,,,,,,,,,,,,,,
2016*,South Florida,American,JR,RB,12,174,1187,6.8,15,98.9,28,227,8.1,0,18.9,202,1414,7.0,15,,Marlon Mack,,,,,,,,,,,,,,
2014,Wyoming,MWC,FR,RB,12,145,796,5.5,7,66.3,13,204,15.7,0,17.0,158,1000,6.3,7,,Brian Hill,,,,,,,,,,,,,,
2015,Wyoming,MWC,SO,RB,12,281,1631,5.8,6,135.9,20,132,6.6,0,11.0,301,1763,5.9,6,,Brian Hill,,,,,,,,,,,,,,
2016*,Wyoming,MWC,JR,RB,14,349,1860,5.3,22,132.9,8,67,8.4,0,4.8,357,1927,5.4,22,,Brian Hill,,,,,,,,,,,,,,
2014*,Boise State,MWC,FR,RB,9,17,159,9.4,1,17.7,15,155,10.3,1,17.2,32,314,9.8,2,,Jeremy McNichols,,,,,,,,,,,,,,
2015*,Boise State,MWC,SO,RB,12,240,1337,5.6,20,111.4,51,460,9.0,6,38.3,291,1797,6.2,26,,Jeremy McNichols,,,,,,,,,,,,,,
2016*,Boise State,MWC,JR,RB,13,314,1709,5.4,23,131.5,37,474,12.8,4,36.5,351,2183,6.2,27,,Jeremy McNichols,,,,,,,,,,,,,,
2013*,North Carolina,ACC,FR,RB,9,93,533,5.7,4,59.2,10,124,12.4,0,13.8,103,657,6.4,4,,T.J. Logan,,,,,,,,,,,,,,
2014*,North Carolina,ACC,SO,RB,13,119,582,4.9,3,44.8,26,144,5.5,0,11.1,145,726,5.0,3,,T.J. Logan,,,,,,,,,,,,,,
2015*,North Carolina,ACC,JR,RB,14,66,400,6.1,5,28.6,11,151,13.7,1,10.8,77,551,7.2,6,,T.J. Logan,,,,,,,,,,,,,,
2016*,North Carolina,ACC,SR,RB,13,120,650,5.4,7,50.0,29,244,8.4,3,18.8,149,894,6.0,10,,T.J. Logan,,,,,,,,,,,,,,
2013,UTEP,CUSA,FR,RB,9,155,811,5.2,4,90.1,4,14,3.5,0,1.6,159,825,5.2,4,,Aaron Jones,,,,,,,,,,,,,,
2014*,UTEP,CUSA,SO,RB,12,242,1321,5.5,11,110.1,30,293,9.8,3,24.4,272,1614,5.9,14,,Aaron Jones,,,,,,,,,,,,,,
2015,UTEP,CUSA,JR,RB,2,32,209,6.5,1,104.5,9,106,11.8,1,53.0,41,315,7.7,2,,Aaron Jones,,,,,,,,,,,,,,
2016,UTEP,CUSA,JR,RB,12,229,1773,7.7,17,147.8,28,233,8.3,3,19.4,257,2006,7.8,20,,Aaron Jones,,,,,,,,,,,,,,
2013*,Louisiana,Sun Belt,FR,RB,13,103,863,8.4,8,66.4,22,384,17.5,3,29.5,125,1247,10.0,11,,Elijah McGuire,,,,,,,,,,,,,,
2014*,Louisiana,Sun Belt,SO,RB,13,166,1264,7.6,14,97.2,45,468,10.4,2,36.0,211,1732,8.2,16,,Elijah McGuire,,,,,,,,,,,,,,
2015,Louisiana,Sun Belt,JR,RB,12,210,1058,5.0,13,88.2,33,293,8.9,3,24.4,243,1351,5.6,16,,Elijah McGuire,,,,,,,,,,,,,,
2016*,Louisiana,Sun Belt,SR,RB,13,232,1127,4.9,7,86.7,29,238,8.2,2,18.3,261,1365,5.2,9,,Elijah McGuire,,,,,,,,,,,,,,
2013*,Auburn,SEC,FR,RB,5,,,,,,,,,,,,,,,,Rudy Ford,2,3,5,0,0.0,0,0,,0,1,0,0,0,0
2014*,Auburn,SEC,SO,DB,13,,,,,,,,,,,,,,,,Rudy Ford,62,31,93,3,0.5,3,18,6.0,0,1,0,0,0,1
2015*,Auburn,SEC,JR,DB,13,,,,,,,,,,,,,,,,Rudy Ford,68,50,118,4,1.0,2,48,24.0,1,2,0,0,0,2
2016*,Auburn,SEC,SR,TE,12,,,,,,,,,,,,,,,,Rudy Ford,38,21,59,6,0.0,0,0,,0,7,1,0,0,0
2015*,Utah State,MWC,JR,RB,13,165,966,5.9,9,74.3,1,9,9.0,0,0.7,166,975,5.9,9,,Devante Mays,,,,,,,,,,,,,,
2016,Utah State,MWC,SR,RB,6,37,259,7.0,3,43.2,1,8,8.0,0,1.3,38,267,7.0,3,,Devante Mays,,,,,,,,,,,,,,
2013,California,Pac-12,FR,RB,11,74,445,6.0,4,40.5,14,187,13.4,1,17.0,88,632,7.2,5,,Khalfani Muhammad,,,,,,,,,,,,,,
2014,California,Pac-12,SO,RB,11,46,215,4.7,4,19.5,7,63,9.0,0,5.7,53,278,5.2,4,,Khalfani Muhammad,,,,,,,,,,,,,,
2015*,California,Pac-12,JR,RB,12,87,586,6.7,1,48.8,17,189,11.1,2,15.8,104,775,7.5,3,,Khalfani Muhammad,,,,,,,,,,,,,,
2016,California,Pac-12,SR,RB,11,152,827,5.4,2,75.2,17,132,7.8,0,12.0,169,959,5.7,2,,Khalfani Muhammad,,,,,,,,,,,,,,
2014*,North Carolina,ACC,FR,RB,9,67,259,3.9,4,28.8,2,-2,-1.0,0,-0.2,69,257,3.7,4,,Elijah Hood,,,,,,,,,,,,,,
2015*,North Carolina,ACC,SO,RB,14,219,1463,6.7,17,104.5,13,71,5.5,0,5.1,232,1534,6.6,17,,Elijah Hood,,,,,,,,,,,,,,
2016*,North Carolina,ACC,JR,RB,11,145,858,5.9,8,78.0,25,142,5.7,0,12.9,170,1000,5.9,8,,Elijah Hood,,,,,,,,,,,,,,
2015*,Oklahoma State,Big 12,JR,RB,12,131,517,3.9,4,43.1,17,170,10.0,0,14.2,148,687,4.6,4,,Chris Carson,,,,,,,,,,,,,,
2016*,Oklahoma State,Big 12,SR,RB,9,82,559,6.8,9,62.1,13,128,9.8,1,14.2,95,687,7.2,10,,Chris Carson,,,,,,,,,,,,,,
2013,North Carolina State,ACC,FR,RB,11,63,252,4.0,4,22.9,10,173,17.3,1,15.7,73,425,5.8,5,,Matthew Dayes,,,,,,,,,,,,,,
2014*,North Carolina State,ACC,SO,RB,13,104,573,5.5,8,44.1,32,321,10.0,5,24.7,136,894,6.6,13,,Matthew Dayes,,,,,,,,,,,,,,
2015*,North Carolina State,ACC,JR,RB,8,134,865,6.5,12,108.1,24,172,7.2,0,21.5,158,1037,6.6,12,,Matthew Dayes,,,,,,,,,,,,,,
2016*,North Carolina State,ACC,SR,RB,13,249,1166,4.7,10,89.7,32,267,8.3,0,20.5,281,1433,5.1,10,,Matthew Dayes,,,,,,,,,,,,,,
