Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2022*,Bowling Green,MAC,FR,TE,12,19,218,11.5,1,18.2,10,53,5.3,4,4.4,29,271,9.3,5,,Harold Fannin,,,,,,,,,,,,,
2023*,Bowling Green,MAC,SO,TE,11,44,623,14.2,6,56.6,14,41,2.9,0,3.7,58,664,11.4,6,,Harold Fannin,,,,,,,,,,,,,
2024*,Bowling Green,MAC,JR,TE,13,117,1555,13.3,10,119.6,9,65,7.2,1,5.0,126,1620,12.9,11,AA,Harold Fannin,,,,,,,,,,,,,
2021,Texas,Big 12,FR,TE,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Gunnar Helm,,,,,,,,,,,,,
2022*,Texas,Big 12,SO,TE,13,5,44,8.8,0,3.4,0,0,,0,0.0,5,44,8.8,0,,Gunnar Helm,,,,,,,,,,,,,
2023*,Texas,Big 12,JR,TE,14,14,192,13.7,2,13.7,0,0,,0,0.0,14,192,13.7,2,,Gunnar Helm,,,,,,,,,,,,,
2024*,Texas,SEC,SR,TE,16,60,786,13.1,7,49.1,0,0,,0,0.0,60,786,13.1,7,,Gunnar Helm,,,,,,,,,,,,,
2021*,Notre Dame,Ind,FR,TE,13,2,21,10.5,0,1.6,0,0,,0,0.0,2,21,10.5,0,,Mitchell Evans,,,,,,,,,,,,,
2022*,Notre Dame,Ind,SO,TE,8,3,39,13.0,1,4.9,7,11,1.6,1,1.4,10,50,5.0,2,,Mitchell Evans,,,,,,,,,,,,,
2023*,Notre Dame,Ind,JR,TE,8,29,422,14.6,1,52.8,1,2,2.0,0,0.3,30,424,14.1,1,,Mitchell Evans,,,,,,,,,,,,,
2024*,Notre Dame,Ind,SR,TE,16,43,421,9.8,3,26.3,0,0,,0,0.0,43,421,9.8,3,,Mitchell Evans,,,,,,,,,,,,,
2024*,Georgia Tech,ACC,SR,TE,12,16,195,12.2,0,16.3,0,0,,0,0.0,16,195,12.2,0,,Jackson Hawes,,,,,,,,,,,,,
2021*,Alabama,SEC,FR,TE,11,1,8,8.0,0,0.7,0,0,,0,0.0,1,8,8.0,0,,Robbie Ouzts,,,,,,,,,,,,,
2022*,Alabama,SEC,SO,TE,13,4,43,10.8,0,3.3,0,0,,0,0.0,4,43,10.8,0,,Robbie Ouzts,,,,,,,,,,,,,
2023*,Alabama,SEC,JR,TE,14,3,33,11.0,1,2.4,0,0,,0,0.0,3,33,11.0,1,,Robbie Ouzts,,,,,,,,,,,,,
2024*,Alabama,SEC,SR,TE,13,8,108,13.5,2,8.3,0,0,,0,0.0,8,108,13.5,2,,Robbie Ouzts,,,,,,,,,,,,,
2020*,Auburn,SEC,FR,TE,11,,,,,,,,,,,,,,,,JJ Pegues,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2021*,Auburn,SEC,SO,DT,13,,,,,,,,,,,,,,,,JJ Pegues,11,5,16,2,0.0,0,0,0,0,0,0,0,0
2022*,Ole Miss,SEC,JR,DT,12,,,,,,,,,,,,,,,,JJ Pegues,15,11,26,5,3.0,0,0,0,2,0,0,0,0
2023*,Ole Miss,SEC,SR,DT,13,,,,,,,,,,,,,,,,JJ Pegues,18,24,42,8,3.5,0,0,0,4,0,0,0,0
2024*,Ole Miss,SEC,SR,DT,13,,,,,,,,,,,,,,,,JJ Pegues,18,24,42,14,3.5,0,0,0,1,1,0,0,0
2021*,Pitt,ACC,FR,TE,14,28,326,11.6,4,23.3,0,0,,0,0.0,28,326,11.6,4,,Gavin Bartholomew,,,,,,,,,,,,,
2022*,Pitt,ACC,SO,TE,13,21,283,13.5,2,21.8,0,0,,0,0.0,21,283,13.5,2,,Gavin Bartholomew,,,,,,,,,,,,,
2023,Pitt,ACC,JR,TE,10,18,326,18.1,1,32.6,0,0,,0,0.0,18,326,18.1,1,,Gavin Bartholomew,,,,,,,,,,,,,
2024*,Pitt,ACC,SR,TE,13,38,322,8.5,4,24.8,1,2,2.0,0,0.2,39,324,8.3,4,,Gavin Bartholomew,,,,,,,,,,,,,
2024,Utah,Big 12,SR,TE,12,4,54,13.5,4,4.5,0,0,,0,0.0,4,54,13.5,4,,Caleb Lohner,,,,,,,,,,,,,
2021*,Oregon,Pac-12,FR,TE,14,9,75,8.3,1,5.4,0,0,,0,0.0,9,75,8.3,1,,Moliki Matavao,,,,,,,,,,,,,
2022*,Oregon,Pac-12,SO,TE,12,10,134,13.4,1,11.2,1,3,3.0,1,0.3,11,137,12.5,2,,Moliki Matavao,,,,,,,,,,,,,
2023*,UCLA,Pac-12,SO,TE,13,14,283,20.2,2,21.8,0,0,,0,0.0,14,283,20.2,2,,Moliki Matavao,,,,,,,,,,,,,
2024,UCLA,Big Ten,SR,TE,11,41,506,12.3,2,46.0,0,0,,0,0.0,41,506,12.3,2,,Moliki Matavao,,,,,,,,,,,,,
2020,Iowa,Big Ten,FR,TE,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Luke Lachey,,,,,,,,,,,,,
2021*,Iowa,Big Ten,FR,TE,13,8,133,16.6,0,10.2,0,0,,0,0.0,8,133,16.6,0,,Luke Lachey,,,,,,,,,,,,,
2022*,Iowa,Big Ten,SO,TE,13,28,398,14.2,4,30.6,0,0,,0,0.0,28,398,14.2,4,,Luke Lachey,,,,,,,,,,,,,
2023*,Iowa,Big Ten,JR,TE,3,10,131,13.1,0,43.7,0,0,,0,0.0,10,131,13.1,0,,Luke Lachey,,,,,,,,,,,,,
2024*,Iowa,Big Ten,SR,TE,12,28,231,8.3,0,19.3,0,0,,0,0.0,28,231,8.3,0,,Luke Lachey,,,,,,,,,,,,,
