Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2021,Kansas,Big 12,FR,RB,11,158,707,4.5,8,64.3,7,57,8.1,1,5.2,165,764,4.6,9,,Devin Neal
2022*,Kansas,Big 12,SO,RB,13,180,1090,6.1,9,83.8,21,183,8.7,1,14.1,201,1273,6.3,10,,Devin Neal
2023*,Kansas,Big 12,JR,RB,13,203,1280,6.3,16,98.5,25,217,8.7,1,16.7,228,1497,6.6,17,,Devin Neal
2024,Kansas,Big 12,SR,RB,12,219,1266,5.8,16,105.5,24,254,10.6,1,21.2,243,1520,6.3,17,,Devin Neal
2020,Texas Tech,Big 12,FR,RB,10,69,255,3.7,4,25.5,13,61,4.7,0,6.1,82,316,3.9,4,,Tahj Brooks
2021*,Texas Tech,Big 12,SO,RB,9,87,568,6.5,7,63.1,6,52,8.7,0,5.8,93,620,6.7,7,,Tahj Brooks
2022*,Texas Tech,Big 12,JR,RB,13,147,691,4.7,7,53.2,26,164,6.3,1,12.6,173,855,4.9,8,,Tahj Brooks
2023*,Texas Tech,Big 12,SR,RB,13,290,1538,5.3,10,118.3,29,72,2.5,0,5.5,319,1610,5.0,10,,Tahj Brooks
2024*,Texas Tech,Big 12,SR,RB,11,286,1505,5.3,17,136.8,28,199,7.1,1,18.1,314,1704,5.4,18,,Tahj Brooks
2022*,Oregon State,Pac-12,FR,RB,13,161,982,6.1,7,75.5,4,61,15.3,0,4.7,165,1043,6.3,7,,Damien Martinez
2023*,Oregon State,Pac-12,SO,RB,12,194,1185,6.1,9,98.8,11,126,11.5,0,10.5,205,1311,6.4,9,,Damien Martinez
2024*,Miami (FL),ACC,JR,RB,13,159,1002,6.3,10,77.1,17,204,12.0,0,15.7,176,1206,6.9,10,,Damien Martinez
2020,Rutgers,Big Ten,FR,RB,5,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Kyle Monangai
2021*,Rutgers,Big Ten,FR,RB,11,62,236,3.8,4,21.5,10,68,6.8,0,6.2,72,304,4.2,4,,Kyle Monangai
2022,Rutgers,Big Ten,SO,RB,12,109,445,4.1,2,37.1,6,31,5.2,0,2.6,115,476,4.1,2,,Kyle Monangai
2023*,Rutgers,Big Ten,JR,RB,13,242,1262,5.2,8,97.1,8,78,9.8,0,6.0,250,1340,5.4,8,,Kyle Monangai
2024*,Rutgers,Big Ten,SR,RB,11,256,1279,5.0,13,116.3,14,75,5.4,1,6.8,270,1354,5.0,14,,Kyle Monangai
2022*,Syracuse,ACC,FR,RB,13,41,274,6.7,1,21.1,17,117,6.9,1,9.0,58,391,6.7,2,,LeQuint Allen
2023*,Syracuse,ACC,SO,RB,13,245,1064,4.3,9,81.8,38,210,5.5,1,16.2,283,1274,4.5,10,,LeQuint Allen
2024*,Syracuse,ACC,JR,RB,13,228,1021,4.5,16,78.5,64,521,8.1,4,40.1,292,1542,5.3,20,,LeQuint Allen
2021*,Clemson,ACC,FR,RB,9,68,292,4.3,3,32.4,7,50,7.1,0,5.6,75,342,4.6,3,,Phil Mafah
2022*,Clemson,ACC,SO,RB,14,98,515,5.3,4,36.8,9,48,5.3,0,3.4,107,563,5.3,4,,Phil Mafah
2023*,Clemson,ACC,JR,RB,13,179,965,5.4,13,74.2,21,108,5.1,0,8.3,200,1073,5.4,13,,Phil Mafah
2024,Clemson,ACC,SR,RB,14,216,1115,5.2,8,79.6,21,103,4.9,0,7.4,237,1218,5.1,8,,Phil Mafah
2023,New Mexico,MWC,SR,RB,12,189,1190,6.3,17,99.2,7,72,10.3,1,6.0,196,1262,6.4,18,,Jacory Croskey-Merritt
2024,Arizona,Big 12,SR,RB,1,13,106,8.2,1,106.0,0,0,,0,0.0,13,106,8.2,1,,Jacory Croskey-Merritt
