Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017,San Jose State,MWC,JR,TE,11,35,296,8.5,1,26.9,0,0,,0,0.0,35,296,8.5,1,,Josh Oliver,,,,,,,,,,,,,
2018,San Jose State,MWC,SR,TE,12,56,709,12.7,4,59.1,0,0,,0,0.0,56,709,12.7,4,,Josh Oliver,,,,,,,,,,,,,
2016,Kansas,Big 12,FR,TE,10,1,5,5.0,0,0.5,0,0,,0,0.0,1,5,5.0,0,,Jace Sternberger,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jace Sternberger,,,,,,,,,,,,,
2018*,Texas A&M,SEC,JR,TE,13,48,832,17.3,10,64.0,1,4,4.0,0,0.3,49,836,17.1,10,AA,Jace Sternberger,,,,,,,,,,,,,
2015*,Michigan,Big Ten,SO,TE,5,,,,,,,,,,,,,,,,Chase Winovich,2,0,2,0,0.0,0,0,0,0,0,0,0,0
2016*,Michigan,Big Ten,JR,DE,13,,,,,,,,,,,,,,,,Chase Winovich,11,24,35,10,5.0,0,0,0,0,0,0,0,1
2017*,Michigan,Big Ten,SR,DL,13,,,,,,,,,,,,,,,,Chase Winovich,28,51,79,18,8.0,0,0,0,0,2,0,0,2
2018*,Michigan,Big Ten,SR,DL,13,,,,,,,,,,,,,,,,Chase Winovich,31,37,68,17,5.0,0,0,0,1,1,0,0,0
2016*,San Diego State,MWC,FR,TE,4,2,17,8.5,2,4.3,0,0,,0,0.0,2,17,8.5,2,,Kahale Warring,,,,,,,,,,,,,
2017*,San Diego State,MWC,SO,TE,13,18,248,13.8,3,19.1,0,0,,0,0.0,18,248,13.8,3,,Kahale Warring,,,,,,,,,,,,,
2018*,San Diego State,MWC,JR,TE,12,31,372,12.0,3,31.0,0,0,,0,0.0,31,372,12.0,3,,Kahale Warring,,,,,,,,,,,,,
2016,Ole Miss,SEC,FR,TE,5,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Dawson Knox,,,,,,,,,,,,,
2017,Ole Miss,SEC,SO,TE,10,24,321,13.4,0,32.1,0,0,,0,0.0,24,321,13.4,0,,Dawson Knox,,,,,,,,,,,,,
2018,Ole Miss,SEC,JR,TE,12,15,284,18.9,0,23.7,0,0,,0,0.0,15,284,18.9,0,,Dawson Knox,,,,,,,,,,,,,
2016*,West Virginia,Big 12,SO,TE,10,1,6,6.0,1,0.6,0,0,,0,0.0,1,6,6.0,1,,Trevon Wesco,,,,,,,,,,,,,
