Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,Stanford,Pac-12,JR,RB,13,263,2118,8.1,19,162.9,6,33,5.5,0,2.5,269,2151,8.0,19,"H-2,AA",Bryce Love,,,,,,,,,,,,,,
2018*,Stanford,Pac-12,SR,RB,10,166,739,4.5,6,73.9,20,99,5.0,0,9.9,186,838,4.5,6,,Bryce Love,,,,,,,,,,,,,,
2016*,Oklahoma State,Big 12,FR,RB,13,206,1142,5.5,6,87.8,5,46,9.2,0,3.5,211,1188,5.6,6,,Justice Hill,,,,,,,,,,,,,,
2017*,Oklahoma State,Big 12,SO,RB,13,268,1467,5.5,15,112.8,31,190,6.1,1,14.6,299,1657,5.5,16,,Justice Hill,,,,,,,,,,,,,,
2018*,Oklahoma State,Big 12,JR,RB,10,158,930,5.9,9,93.0,13,68,5.2,0,6.8,171,998,5.8,9,,Justice Hill,,,,,,,,,,,,,,
2016*,Kentucky,SEC,FR,RB,13,186,1091,5.9,13,83.9,2,39,19.5,0,3.0,188,1130,6.0,13,,Benny Snell Jr.,,,,,,,,,,,,,,
2017*,Kentucky,SEC,SO,RB,13,262,1333,5.1,19,102.5,10,72,7.2,0,5.5,272,1405,5.2,19,,Benny Snell Jr.,,,,,,,,,,,,,,
2018*,Kentucky,SEC,JR,RB,13,289,1449,5.0,16,111.5,17,105,6.2,0,8.1,306,1554,5.1,16,,Benny Snell Jr.,,,,,,,,,,,,,,
2015*,Temple,American,FR,RB,12,51,191,3.7,2,15.9,2,7,3.5,0,0.6,53,198,3.7,2,,Ryquell Armstead,,,,,,,,,,,,,,
2016*,Temple,American,SO,RB,13,156,919,5.9,14,70.7,5,41,8.2,0,3.2,161,960,6.0,14,,Ryquell Armstead,,,,,,,,,,,,,,
2017*,Temple,American,JR,RB,13,156,604,3.9,5,46.5,14,75,5.4,0,5.8,170,679,4.0,5,,Ryquell Armstead,,,,,,,,,,,,,,
2018*,Temple,American,SR,RB,10,210,1098,5.2,13,109.8,8,52,6.5,0,5.2,218,1150,5.3,13,,Ryquell Armstead,,,,,,,,,,,,,,
2015*,Pitt,ACC,FR,RB,13,212,1121,5.3,11,86.2,14,77,5.5,1,5.9,226,1198,5.3,12,,Qadree Ollison,,,,,,,,,,,,,,
2016*,Pitt,ACC,SO,RB,13,33,127,3.8,2,9.8,2,38,19.0,0,2.9,35,165,4.7,2,,Qadree Ollison,,,,,,,,,,,,,,
2017,Pitt,ACC,JR,RB,12,90,398,4.4,5,33.2,23,194,8.4,2,16.2,113,592,5.2,7,,Qadree Ollison,,,,,,,,,,,,,,
2018*,Pitt,ACC,SR,RB,14,194,1213,6.3,11,86.6,11,66,6.0,0,4.7,205,1279,6.2,11,,Qadree Ollison,,,,,,,,,,,,,,
2015*,Florida,SEC,FR,RB,9,34,181,5.3,1,20.1,1,1,1.0,0,0.1,35,182,5.2,1,,Jordan Scarlett,,,,,,,,,,,,,,
2016*,Florida,SEC,SO,RB,13,179,889,5.0,6,68.4,4,23,5.8,0,1.8,183,912,5.0,6,,Jordan Scarlett,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jordan Scarlett,,,,,,,,,,,,,,
2018*,Florida,SEC,JR,RB,13,131,776,5.9,5,59.7,10,84,8.4,0,6.5,141,860,6.1,5,,Jordan Scarlett,,,,,,,,,,,,,,
2016*,Texas A&M,SEC,FR,RB,13,156,1057,6.8,8,81.3,19,91,4.8,0,7.0,175,1148,6.6,8,,Trayveon Williams,,,,,,,,,,,,,,
2017*,Texas A&M,SEC,SO,RB,12,173,798,4.6,8,66.5,20,192,9.6,0,16.0,193,990,5.1,8,,Trayveon Williams,,,,,,,,,,,,,,
2018*,Texas A&M,SEC,JR,RB,13,271,1760,6.5,18,135.4,27,278,10.3,1,21.4,298,2038,6.8,19,,Trayveon Williams,,,,,,,,,,,,,,
2015,Maryland,Big Ten,FR,RB,12,35,250,7.1,3,20.8,2,30,15.0,0,2.5,37,280,7.6,3,,Ty Johnson,,,,,,,,,,,,,,
2016*,Maryland,Big Ten,SO,RB,13,110,1004,9.1,6,77.2,16,206,12.9,1,15.8,126,1210,9.6,7,,Ty Johnson,,,,,,,,,,,,,,
2017,Maryland,Big Ten,JR,RB,12,137,875,6.4,5,72.9,5,60,12.0,1,5.0,142,935,6.6,6,,Ty Johnson,,,,,,,,,,,,,,
2018,Maryland,Big Ten,SR,RB,9,66,506,7.7,3,56.2,6,22,3.7,0,2.4,72,528,7.3,3,,Ty Johnson,,,,,,,,,,,,,,
2015*,Notre Dame,Ind,FR,RB,7,21,81,3.9,1,11.6,0,0,,0,0.0,21,81,3.9,1,,Dexter Williams,,,,,,,,,,,,,,
2016,Notre Dame,Ind,SO,RB,11,39,200,5.1,3,18.2,4,16,4.0,0,1.5,43,216,5.0,3,,Dexter Williams,,,,,,,,,,,,,,
2017*,Notre Dame,Ind,JR,RB,10,39,360,9.2,4,36.0,2,13,6.5,1,1.3,41,373,9.1,5,,Dexter Williams,,,,,,,,,,,,,,
2018*,Notre Dame,Ind,SR,RB,9,158,995,6.3,12,110.6,16,133,8.3,1,14.8,174,1128,6.5,13,,Dexter Williams,,,,,,,,,,,,,,
2016*,Miami (FL),ACC,FR,RB,12,7,44,6.3,0,3.7,0,0,,0,0.0,7,44,6.3,0,,Travis Homer,,,,,,,,,,,,,,
2017*,Miami (FL),ACC,SO,RB,13,163,966,5.9,8,74.3,18,219,12.2,1,16.8,181,1185,6.5,9,,Travis Homer,,,,,,,,,,,,,,
2018*,Miami (FL),ACC,JR,RB,13,164,985,6.0,4,75.8,19,186,9.8,0,14.3,183,1171,6.4,4,,Travis Homer,,,,,,,,,,,,,,
2015*,Oklahoma,Big 12,FR,RB,2,1,5,5.0,0,2.5,0,0,,0,0.0,1,5,5.0,0,,Rodney Anderson,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Rodney Anderson,,,,,,,,,,,,,,
2017*,Oklahoma,Big 12,SO,RB,14,188,1161,6.2,13,82.9,17,281,16.5,5,20.1,205,1442,7.0,18,,Rodney Anderson,,,,,,,,,,,,,,
2018*,Oklahoma,Big 12,JR,RB,2,11,119,10.8,3,59.5,0,0,,0,0.0,11,119,10.8,3,,Rodney Anderson,,,,,,,,,,,,,,
2018*,Utah State,MWC,JR,RB,13,153,1044,6.8,14,80.3,23,351,15.3,2,27.0,176,1395,7.9,16,,Darwin Thompson,,,,,,,,,,,,,,
2016*,Ohio State,Big Ten,FR,RB,13,182,1096,6.0,9,84.3,23,91,4.0,0,7.0,205,1187,5.8,9,,Mike Weber,,,,,,,,,,,,,,
2017*,Ohio State,Big Ten,SO,RB,12,101,626,6.2,10,52.2,10,94,9.4,0,7.8,111,720,6.5,10,,Mike Weber,,,,,,,,,,,,,,
2018*,Ohio State,Big Ten,JR,RB,13,172,954,5.5,5,73.4,21,112,5.3,1,8.6,193,1066,5.5,6,,Mike Weber,,,,,,,,,,,,,,
2016,Florida Atlantic,CUSA,FR,RB,11,43,145,3.4,1,13.2,5,21,4.2,0,1.9,48,166,3.5,1,,Kerrith Whyte Jr,,,,,,,,,,,,,,
2017*,Florida Atlantic,CUSA,SO,RB,14,55,347,6.3,2,24.8,7,46,6.6,0,3.3,62,393,6.3,2,,Kerrith Whyte Jr,,,,,,,,,,,,,,
2018,Florida Atlantic,CUSA,JR,RB,12,134,866,6.5,8,72.2,10,160,16.0,2,13.3,144,1026,7.1,10,,Kerrith Whyte Jr,,,,,,,,,,,,,,
2015*,Washington,Pac-12,FR,RB,13,227,1302,5.7,14,100.2,6,19,3.2,0,1.5,233,1321,5.7,14,,Myles Gaskin,,,,,,,,,,,,,,
2016*,Washington,Pac-12,SO,RB,14,237,1373,5.8,10,98.1,19,137,7.2,1,9.8,256,1510,5.9,11,,Myles Gaskin,,,,,,,,,,,,,,
2017*,Washington,Pac-12,JR,RB,13,222,1380,6.2,21,106.2,19,232,12.2,3,17.8,241,1612,6.7,24,,Myles Gaskin,,,,,,,,,,,,,,
2018*,Washington,Pac-12,SR,RB,12,259,1268,4.9,12,105.7,21,77,3.7,1,6.4,280,1345,4.8,13,,Myles Gaskin,,,,,,,,,,,,,,
2015*,Penn State,Big Ten,FR,RB,13,,,,,,,,,,,,,,,,Nick Scott,5,3,8,0,0.0,0,0,,0,0,0,0,0,0
2016*,Penn State,Big Ten,SO,CB,13,,,,,,,,,,,,,,,,Nick Scott,3,5,8,0,0.0,0,0,,0,1,0,0,0,0
2017*,Penn State,Big Ten,JR,S,13,,,,,,,,,,,,,,,,Nick Scott,17,16,33,2,0.0,0,0,,0,0,1,13,1,0
2018*,Penn State,Big Ten,SR,S,13,,,,,,,,,,,,,,,,Nick Scott,35,30,65,1,1.0,3,16,5.3,0,1,1,0,0,0
