Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
K9,159,Justin Tucker,,259.79,60,480,144.07,70%
RB58,160,Jaleel McLaughlin,DEN,264.5,91,480,164.11,63%
RB59,161,MarShawn Lloyd,GB,271.24,114,480,164.12,61%
WR57,162,Rashod Bateman,BAL,274.78,96,480,171.85,58%
K10,163,Harrison Butker,KC,281.24,89,480,145.92,65%
DST11,164,Los Angeles Chargers,LAC,285.86,112,480,151.78,62%
RB60,165,Roschon Johnson,CHI,287.12,115,480,164.4,58%
TE14,166,Dalton Kincaid,BUF,289.66,95,480,166.49,56%
WR58,167,Tre Harris,LAC,296.26,101,480,175.41,52%
RB61,168,Kareem Hunt,KC,297.42,104,480,165.11,55%
K11,169,Jason Sanders,MIA,307.73,110,480,150.42,57%
TE15,170,Dallas Goedert,PHI,314.06,112,480,165.64,50%
WR59,171,Marvin Mims Jr.,DEN,314.63,116,480,170.55,48%
RB62,172,Devin Neal,NO,319.7,94,480,163.64,49%
RB63,173,Kendre Miller,NO,320.98,117,480,163.41,48%
QB15,174,Dak Prescott,DAL,322.33,32,480,175.13,45%
QB16,175,Jordan Love,GB,324.58,27,480,170.95,45%
WR60,176,Keenan Allen,,327.56,113,480,171.13,44%
WR61,177,Quentin Johnston,LAC,341.47,114,480,167.36,40%
WR62,178,Marquise Brown,KC,348.2,94,480,165.55,38%
K12,179,Jake Elliott,PHI,349.7,120,480,149.29,43%
WR63,180,Romeo Doubs,GB,352.12,112,480,163.48,38%
WR64,181,Jack Bech,LV,353.11,111,480,165.81,37%
QB17,182,Drake Maye,NE,354.94,36,480,168.55,35%
WR65,183,Jayden Higgins,HOU,357.92,108,480,163.62,35%
TE16,184,Kyle Pitts,ATL,371.41,105,480,153.97,33%
RB64,185,Nick Chubb,,373.08,103,480,153.36,32%
RB65,186,DJ Giddens,IND,380.55,136,480,146.99,31%
WR66,187,Amari Cooper,,381.36,114,480,152.35,29%
WR67,188,DeAndre Hopkins,BAL,383.74,123,480,151.83,28%
DST12,189,Los Angeles Rams,LAR,401.35,73,480,139.99,24%
QB18,190,C.J. Stroud,HOU,404.38,30,480,139.64,22%
WR68,191,Cedric Tillman,CLE,404.64,122,480,138.14,23%
WR69,192,Kyle Williams,NE,405.02,130,480,140.05,22%
DST13,193,Miami Dolphins,MIA,405.16,106,480,137.44,23%
K13,194,Daniel Carlson,LV,408.66,114,480,131.53,23%
TE17,195,Jake Ferguson,DAL,409.37,111,480,134.8,21%
RB66,196,Ollie Gordon II,MIA,413.31,145,480,127.66,21%
K14,197,Matt Prater,,415.12,115,480,126.46,21%
QB19,198,Trevor Lawrence,JAC,416.45,50,480,130.72,19%
