Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Kick Returns Ret,Kick Returns Yds,Kick Returns Y/Ret,Kick Returns KRTD,Punt Returns Ret,Punt Returns Yds,Punt Returns Y/Ret,Punt Returns PRTD,APYd,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2018,UCLA,Pac-12,FR,WR,5,6,31,5.2,0,6.2,0,0,,0,0.0,6,31,5.2,0,,Kyle Philips,,,,,,,,,,,,,,,,,,,,,,,
2019,UCLA,Pac-12,SO,WR,12,60,681,11.4,5,56.8,1,7,7.0,0,0.6,61,688,11.3,5,,Kyle Philips,,,,,,,,,,,,,,,,,,,,,,,
2020,UCLA,Pac-12,SO,WR,7,38,370,9.7,2,52.9,4,40,10.0,0,5.7,42,410,9.8,2,,Kyle Philips,,,,,,,,,,,,,,,,,,,,,,,
2021,UCLA,Pac-12,JR,WR,11,59,739,12.5,10,67.2,0,0,,0,0.0,59,739,12.5,10,,Kyle Philips,,,,,,,,,,,,,,,,,,,,,,,
2018*,Michigan State,Big Ten,FR,WR,8,8,138,17.3,2,17.3,9,128,14.2,1,16.0,17,266,15.6,3,,Jalen Nailor,,,,,,,,,,,,,,,,,,,,,,,
2019*,Michigan State,Big Ten,SO,WR,4,15,106,7.1,0,26.5,5,27,5.4,0,6.8,20,133,6.7,0,,Jalen Nailor,,,,,,,,,,,,,,,,,,,,,,,
2020,Michigan State,Big Ten,SO,WR,7,26,515,19.8,4,73.6,2,11,5.5,0,1.6,28,526,18.8,4,,Jalen Nailor,,,,,,,,,,,,,,,,,,,,,,,
2021*,Michigan State,Big Ten,JR,WR,9,37,694,18.8,6,77.1,1,-3,-3.0,0,-0.3,38,691,18.2,6,,Jalen Nailor,,,,,,,,,,,,,,,,,,,,,,,
2018*,Clemson,ACC,FR,WR,15,,,,,,,,,,,,,,,,Derion Kendrick,,,,,,,,,,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2019*,Clemson,ACC,SO,CB,15,,,,,,,,,,,,,,,,Derion Kendrick,,,,,,,,,,32,12,44,3,0.0,2,52,26.0,1,5,0,0,0,0
2020*,Clemson,ACC,JR,CB,9,,,,,,,,,,,,,,,,Derion Kendrick,,,,,,,,,,12,5,17,1,1.0,1,0,0.0,0,6,1,66,1,0
2021*,Georgia,SEC,SR,DB,15,,,,,,,,,,,,,,,,Derion Kendrick,,,,,,,,,,24,17,41,2,0.0,4,14,3.5,0,3,0,0,0,0
2017,Rutgers,Big Ten,FR,WR,12,4,83,20.8,0,6.9,0,0,,0,0.0,4,83,20.8,0,,Bo Melton,,,,,,,,,,,,,,,,,,,,,,,
2018,Rutgers,Big Ten,SO,WR,12,28,245,8.8,0,20.4,6,23,3.8,0,1.9,34,268,7.9,0,,Bo Melton,,,,,,,,,,,,,,,,,,,,,,,
2019,Rutgers,Big Ten,JR,WR,12,30,427,14.2,2,35.6,4,22,5.5,0,1.8,34,449,13.2,2,,Bo Melton,,,,,,,,,,,,,,,,,,,,,,,
2020,Rutgers,Big Ten,SR,WR,9,47,638,13.6,6,70.9,6,69,11.5,2,7.7,53,707,13.3,8,,Bo Melton,,,,,,,,,,,,,,,,,,,,,,,
2021*,Rutgers,Big Ten,SR,WR,11,55,618,11.2,3,56.2,9,51,5.7,0,4.6,64,669,10.5,3,,Bo Melton,,,,,,,,,,,,,,,,,,,,,,,
2018*,Baylor,Big 12,FR,WR,11,,,,,,,,,,,,,,,,Kalon Barnes,,,,,,,,,,7,3,10,0,0.0,0,0,,0,1,0,0,0,0
2019*,Baylor,Big 12,SO,CB,14,,,,,,,,,,,,,,,,Kalon Barnes,,,,,,,,,,13,9,22,1,0.0,1,18,18.0,0,5,0,0,0,1
2020,Baylor,Big 12,JR,CB,6,,,,,,,,,,,,,,,,Kalon Barnes,,,,,,,,,,11,2,13,2,0.0,1,0,0.0,0,3,0,0,0,0
2021*,Baylor,Big 12,SR,CB,10,,,,,,,,,,,,,,,,Kalon Barnes,,,,,,,,,,21,2,23,0,0.0,1,0,0.0,0,5,1,0,0,0
2021,Nebraska,Big Ten,SR,WR,12,46,898,19.5,5,74.8,8,63,7.9,1,5.3,54,961,17.8,6,,Samori Toure,,,,,,,,,,,,,,,,,,,,,,,
