Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2021*,San Diego State,MWC,SR,TE,13,31,357,11.5,2,27.5,1,2,2.0,0,0.2,32,359,11.2,2,,Daniel Bellinger
2018*,Iowa State,Big 12,FR,TE,13,11,137,12.5,3,10.5,0,0,,0,0.0,11,137,12.5,3,,Charlie Kolar
2019*,Iowa State,Big 12,SO,TE,13,51,697,13.7,7,53.6,0,0,,0,0.0,51,697,13.7,7,,Charlie Kolar
2020*,Iowa State,Big 12,JR,TE,11,44,591,13.4,7,53.7,0,0,,0,0.0,44,591,13.4,7,,Charlie Kolar
2021*,Iowa State,Big 12,SR,TE,12,62,756,12.2,6,63.0,0,0,,0,0.0,62,756,12.2,6,,Charlie Kolar
2018*,Wisconsin,Big Ten,FR,TE,13,36,456,12.7,4,35.1,0,0,,0,0.0,36,456,12.7,4,,Jake Ferguson
2019*,Wisconsin,Big Ten,SO,TE,14,33,407,12.3,2,29.1,0,0,,0,0.0,33,407,12.3,2,,Jake Ferguson
2020*,Wisconsin,Big Ten,JR,TE,7,30,305,10.2,4,43.6,0,0,,0,0.0,30,305,10.2,4,,Jake Ferguson
2021*,Wisconsin,Big Ten,SR,TE,13,46,450,9.8,3,34.6,0,0,,0,0.0,46,450,9.8,3,,Jake Ferguson
2018,Coastal Carolina,Sun Belt,FR,TE,12,12,106,8.8,5,8.8,0,0,,0,0.0,12,106,8.8,5,,Isaiah Likely
2019,Coastal Carolina,Sun Belt,SO,TE,12,32,431,13.5,5,35.9,0,0,,0,0.0,32,431,13.5,5,,Isaiah Likely
2020*,Coastal Carolina,Sun Belt,JR,TE,11,30,601,20.0,5,54.6,0,0,,0,0.0,30,601,20.0,5,,Isaiah Likely
2021*,Coastal Carolina,Sun Belt,SR,TE,13,59,912,15.5,12,70.2,3,10,3.3,0,0.8,62,922,14.9,12,,Isaiah Likely
2018,Maryland,Big Ten,FR,TE,12,6,69,11.5,1,5.8,3,72,24.0,3,6.0,9,141,15.7,4,,Chigoziem Okonkwo
2019,Maryland,Big Ten,SO,TE,12,19,201,10.6,2,16.8,0,0,,0,0.0,19,201,10.6,2,,Chigoziem Okonkwo
2020,Maryland,Big Ten,JR,TE,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Chigoziem Okonkwo
2021*,Maryland,Big Ten,SR,TE,13,52,447,8.6,5,34.4,0,0,,0,0.0,52,447,8.6,5,,Chigoziem Okonkwo
2018,Oregon State,Pac-12,FR,TE,10,2,13,6.5,0,1.3,0,0,,0,0.0,2,13,6.5,0,,Teagan Quitoriano
2019,Oregon State,Pac-12,SO,TE,12,5,100,20.0,2,8.3,0,0,,0,0.0,5,100,20.0,2,,Teagan Quitoriano
2020,Oregon State,Pac-12,JR,TE,7,14,185,13.2,1,26.4,0,0,,0,0.0,14,185,13.2,1,,Teagan Quitoriano
2021*,Oregon State,Pac-12,JR,TE,13,19,214,11.3,3,16.5,0,0,,0,0.0,19,214,11.3,3,,Teagan Quitoriano
2017*,Oklahoma,Big 12,FR,TE,14,10,162,16.2,3,11.6,0,0,,0,0.0,10,162,16.2,3,,Grant Calcaterra
2018*,Oklahoma,Big 12,SO,TE,14,26,396,15.2,6,28.3,0,0,,0,0.0,26,396,15.2,6,,Grant Calcaterra
2019*,Oklahoma,Big 12,JR,TE,5,5,79,15.8,0,15.8,0,0,,0,0.0,5,79,15.8,0,,Grant Calcaterra
,,,,,,,,,,,,,,,,,,,,,Grant Calcaterra
2021,SMU,American,SR,TE,12,38,465,12.2,4,38.8,0,0,,0,0.0,38,465,12.2,4,,Grant Calcaterra
2017,Minnesota,Big Ten,FR,TE,12,2,17,8.5,0,1.4,0,0,,0,0.0,2,17,8.5,0,,Ko Kieft
2018*,Minnesota,Big Ten,SO,TE,13,1,19,19.0,0,1.5,0,0,,0,0.0,1,19,19.0,0,,Ko Kieft
2019*,Minnesota,Big Ten,,,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Ko Kieft
2020,Minnesota,Big Ten,SR,TE,4,2,29,14.5,1,7.3,1,-2,-2.0,0,-0.5,3,27,9.0,1,,Ko Kieft
2021*,Minnesota,Big Ten,SR,TE,13,7,101,14.4,1,7.8,0,0,,0,0.0,7,101,14.4,1,,Ko Kieft
2019,South Carolina,SEC,JR,TE,8,17,158,9.3,0,19.8,0,0,,0,0.0,17,158,9.3,0,,Nick Muse
2020,South Carolina,SEC,SR,TE,10,30,425,14.2,1,42.5,0,0,,0,0.0,30,425,14.2,1,,Nick Muse
2021*,South Carolina,SEC,SR,TE,13,20,222,11.1,2,17.1,0,0,,0,0.0,20,222,11.1,2,,Nick Muse
