Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Rushing Y/A,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2020,Pitt,ACC,FR,WR,10,60,666,11.1,4,66.6,9,58,0,5.8,69,724,10.5,4,,Jordan Addison,6.4,,,,,,,,,,,,,,
2021*,Pitt,ACC,SO,WR,14,100,1593,15.9,17,113.8,7,56,1,4.0,107,1649,15.4,18,AA,Jordan Addison,8.0,,,,,,,,,,,,,,
2022*,USC,Pac-12,JR,WR,11,59,875,14.8,8,79.5,4,33,0,3.0,63,908,14.4,8,,Jordan Addison,8.3,,,,,,,,,,,,,,
2019,Ole Miss,SEC,FR,WR,12,12,172,14.3,1,14.3,0,0,0,0.0,12,172,14.3,1,,Jonathan Mingo,,,,,,,,,,,,,,,
2020*,Ole Miss,SEC,SO,WR,10,27,379,14.0,3,37.9,0,0,0,0.0,27,379,14.0,3,,Jonathan Mingo,,,,,,,,,,,,,,,
2021*,Ole Miss,SEC,JR,WR,6,22,346,15.7,3,57.7,0,0,0,0.0,22,346,15.7,3,,Jonathan Mingo,,,,,,,,,,,,,,,
2022*,Ole Miss,SEC,SR,WR,13,51,861,16.9,5,66.2,4,-7,1,-0.5,55,854,15.5,6,,Jonathan Mingo,-1.8,,,,,,,,,,,,,,
2018*,Western Michigan,MAC,FR,WR,13,56,797,14.2,8,61.3,1,-9,0,-0.7,57,788,13.8,8,,Jayden Reed,-9.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Jayden Reed,,,,,,,,,,,,,,,
2020,Michigan State,Big Ten,SO,WR,7,33,407,12.3,3,58.1,6,17,0,2.4,39,424,10.9,3,,Jayden Reed,2.8,,,,,,,,,,,,,,
2021*,Michigan State,Big Ten,JR,WR,13,59,1026,17.4,10,78.9,7,34,1,2.6,66,1060,16.1,11,,Jayden Reed,4.9,,,,,,,,,,,,,,
2022,Michigan State,Big Ten,SR,WR,11,55,636,11.6,5,57.8,4,11,0,1.0,59,647,11.0,5,,Jayden Reed,2.8,,,,,,,,,,,,,,
2019*,SMU,American,FR,WR,10,25,403,16.1,1,40.3,1,0,0,0.0,26,403,15.5,1,,Rashee Rice,0.0,,,,,,,,,,,,,,
2020,SMU,American,SO,WR,10,48,683,14.2,5,68.3,0,0,0,0.0,48,683,14.2,5,,Rashee Rice,,,,,,,,,,,,,,,
2021,SMU,American,JR,WR,12,64,670,10.5,9,55.8,0,0,0,0.0,64,670,10.5,9,,Rashee Rice,,,,,,,,,,,,,,,
2022*,SMU,American,SR,WR,12,96,1355,14.1,10,112.9,0,0,0,0.0,96,1355,14.1,10,,Rashee Rice,,,,,,,,,,,,,,,
2020*,Oklahoma,Big 12,FR,WR,11,37,610,16.5,9,55.5,2,17,0,1.5,39,627,16.1,9,,Marvin Mims,8.5,,,,,,,,,,,,,,
2021*,Oklahoma,Big 12,SO,WR,13,32,705,22.0,5,54.2,1,15,0,1.2,33,720,21.8,5,,Marvin Mims,15.0,,,,,,,,,,,,,,
2022*,Oklahoma,Big 12,JR,WR,13,54,1083,20.1,6,83.3,2,3,0,0.2,56,1086,19.4,6,,Marvin Mims,1.5,,,,,,,,,,,,,,
2020*,Houston,American,SO,WR,8,29,428,14.8,3,53.5,0,0,0,0.0,29,428,14.8,3,,Tank Dell,,,,,,,,,,,,,,,
2021*,Houston,American,SO,WR,14,90,1329,14.8,12,94.9,1,5,0,0.4,91,1334,14.7,12,,Tank Dell,5.0,,,,,,,,,,,,,,
2022*,Houston,American,JR,WR,13,109,1398,12.8,17,107.5,4,9,0,0.7,113,1407,12.5,17,,Tank Dell,2.3,,,,,,,,,,,,,,
2020,Tennessee,SEC,FR,WR,10,20,276,13.8,2,27.6,1,3,0,0.3,21,279,13.3,2,,Jalin Hyatt,3.0,,,,,,,,,,,,,,
2021*,Tennessee,SEC,SO,WR,13,21,226,10.8,2,17.4,1,10,0,0.8,22,236,10.7,2,,Jalin Hyatt,10.0,,,,,,,,,,,,,,
2022*,Tennessee,SEC,JR,WR,12,67,1267,18.9,15,105.6,1,0,0,0.0,68,1267,18.6,15,AA,Jalin Hyatt,0.0,,,,,,,,,,,,,,
2018,Tennessee,SEC,FR,WR,4,1,-3,-3.0,0,-0.8,0,0,0,0.0,1,-3,-3.0,0,,Cedric Tillman,,,,,,,,,,,,,,,
2019*,Tennessee,SEC,FR,WR,11,4,60,15.0,1,5.5,0,0,0,0.0,4,60,15.0,1,,Cedric Tillman,,,,,,,,,,,,,,,
2020,Tennessee,SEC,SO,WR,10,3,67,22.3,1,6.7,0,0,0,0.0,3,67,22.3,1,,Cedric Tillman,,,,,,,,,,,,,,,
2021*,Tennessee,SEC,JR,WR,13,64,1081,16.9,12,83.2,0,0,0,0.0,64,1081,16.9,12,,Cedric Tillman,,,,,,,,,,,,,,,
2022*,Tennessee,SEC,SR,WR,6,37,417,11.3,3,69.5,0,0,0,0.0,37,417,11.3,3,,Cedric Tillman,,,,,,,,,,,,,,,
2020*,North Carolina,ACC,FR,WR,10,7,119,17.0,3,11.9,1,-3,0,-0.3,8,116,14.5,3,,Josh Downs,-3.0,,,,,,,,,,,,,,
2021*,North Carolina,ACC,SO,WR,13,101,1335,13.2,8,102.7,0,0,0,0.0,101,1335,13.2,8,,Josh Downs,,,,,,,,,,,,,,,
2022*,North Carolina,ACC,JR,WR,11,94,1029,10.9,11,93.5,0,0,0,0.0,94,1029,10.9,11,,Josh Downs,,,,,,,,,,,,,,,
2017,Nevada,MWC,FR,WR,12,,,,,,,,,,,,,,,Daiyan Henley,,2,0,2,0,0.0,0,0,,0,0,0,0,0,0
2018*,Nevada,MWC,SO,WR,13,,,,,,,,,,,,,,,Daiyan Henley,,1,0,1,0,0.0,0,0,,0,0,0,0,0,0
