,Name,POS,Age,HT,WT,Exp,College,Team
,Kingsley Suamataia76,OT,22,"6' 4""",326 lbs,R,BYU,KAN
,Jawaan Taylor74,OT,27,"6' 5""",330 lbs,6,Florida,KAN
,Carter Bradley14,QB,25,"6' 3""",213 lbs,R,South Alabama,LVR
,Cam Miller,QB,23,"6' 1""",212 lbs,R,North Dakota State,LVR
,Aidan O'Connell12,QB,26,"6' 3""",210 lbs,2,Purdue,LVR
,Geno Smith,QB,34,"6' 3""",221 lbs,12,West Virginia,LVR
,Chris Collier33,RB,25,"5' 11""",210 lbs,R,Lock Haven University,LVR
,Ashton Jeanty,RB,21,"5' 9""",215 lbs,R,Boise State,LVR
,Dylan Laube23,RB,25,"5' 10""",208 lbs,R,New Hampshire,LVR
,Sincere McCormick28,RB,24,"5' 9""",205 lbs,2,UTSA,LVR
,Raheem Mostert,RB,33,"5' 10""",205 lbs,10,Purdue,LVR
,Zamir White3,RB,25,"6' 0""",215 lbs,3,Georgia,LVR
,Alex Bachman81,WR,28,"6' 0""",190 lbs,1,Wake Forest,LVR
,Jack Bech,WR,22,"6' 2""",215 lbs,R,TCU,LVR
,Zakhari Franklin,WR,--,"6' 1""",190 lbs,R,Illinois,LVR
,Shedrick Jackson4,WR,25,"6' 1""",200 lbs,1,Auburn,LVR
,Ketron Jackson Jr.,WR,--,"6' 3""",205 lbs,R,Baylor,LVR
,Collin Johnson,WR,27,"6' 6""",222 lbs,4,Texas,LVR
,Tommy Mellott,WR,--,"6' 0""",208 lbs,R,Montana State,LVR
,Jakobi Meyers16,WR,28,"6' 2""",200 lbs,6,NC State,LVR
,Kyle Philips,WR,25,"5' 11""",189 lbs,3,UCLA,LVR
,Key'Shawn Smith,WR,--,"6' 1""",191 lbs,R,SMU,LVR
,Dont'e Thornton Jr.,WR,22,"6' 5""",214 lbs,R,Tennessee,LVR
,Tre Tucker11,WR,24,"5' 9""",185 lbs,2,Cincinnati,LVR
,Brock Bowers89,TE,22,"6' 4""",230 lbs,R,Georgia,LVR
,Pat Conroy,TE,--,"6' 2""",235 lbs,R,Old Dominion,LVR
,Qadir Ismail,TE,25,"6' 6""",232 lbs,R,Samford,LVR
,Michael Mayer87,TE,23,"6' 4""",265 lbs,2,Notre Dame,LVR
,Carter Runyon,TE,--,"6' 6""",235 lbs,R,Towson,LVR
,Justin Shorter88,TE,25,"6' 5""",228 lbs,2,Florida,LVR
,Ian Thomas,TE,28,"6' 4""",260 lbs,7,Indiana,LVR
,Will Putnam67,C,24,"6' 4""",301 lbs,R,Clemson,LVR
,Alex Cappa,G,30,"6' 6""",312 lbs,7,Humboldt State,LVR
,Jordan Meredith61,G,27,"6' 2""",300 lbs,2,Western Kentucky,LVR
,Dylan Parham66,G,25,"6' 3""",285 lbs,3,Memphis,LVR
,Jackson Powers-Johnson58,G,22,"6' 3""",334 lbs,R,Oregon,LVR
,Parker Clements,OL,--,"6' 7""",300 lbs,R,Virginia Tech,LVR
,Jarrod Hufford,OL,--,"6' 5""",320 lbs,R,Iowa State,LVR
,Gottlieb Ayedze72,OT,25,"6' 4""",309 lbs,R,Maryland,LVR
,DJ Glaze71,OT,22,"6' 4""",323 lbs,R,Maryland,LVR
,Charles Grant,OT,23,"6' 4""",300 lbs,R,William & Mary,LVR
,Kolton Miller74,OT,29,"6' 8""",325 lbs,7,UCLA,LVR
,Thayer Munford Jr.77,OT,25,"6' 6""",315 lbs,3,Ohio State,LVR
,Caleb Rogers,OT,23,"6' 5""",310 lbs,R,Texas Tech,LVR
,Dalton Wagner78,OT,26,"6' 8""",320 lbs,2,Arkansas,LVR
,Taylor Heinicke8,QB,32,"6' 1""",210 lbs,10,Old Dominion,LAC
,Justin Herbert10,QB,27,"6' 6""",236 lbs,5,Oregon,LAC
,Trey Lance,QB,25,"6' 4""",226 lbs,4,North Dakota State,LAC
,DJ Uiagalelei,QB,24,"6' 4""",252 lbs,R,Florida State,LAC
,Omarion Hampton,RB,22,"6' 0""",220 lbs,R,North Carolina,LAC
,Najee Harris,RB,27,"6' 1""",242 lbs,4,Alabama,LAC
,Hassan Haskins28,RB,25,"6' 2""",228 lbs,3,Michigan,LAC
,Jaret Patterson34,RB,25,"5' 8""",195 lbs,2,Buffalo,LAC
,Raheim Sanders,RB,--,"6' 0""",230 lbs,R,South Carolina,LAC
,Kimani Vidal30,RB,23,"5' 8""",215 lbs,R,Troy,LAC
,Derius Davis12,WR,24,"5' 8""",165 lbs,2,TCU,LAC
,Dez Fitzpatrick82,WR,27,"6' 2""",208 lbs,2,Louisville,LAC
,Luke Grimm,WR,23,"6' 0""",190 lbs,R,Iowa State,LAC
,Tre Harris,WR,23,"6' 3""",210 lbs,R,Ole Miss,LAC
,Jaylen Johnson39,WR,24,"6' 2""",194 lbs,R,East Carolina,LAC
,Quentin Johnston1,WR,23,"6' 4""",215 lbs,2,TCU,LAC
,KeAndre Lambert-Smith,WR,22,"6' 1""",182 lbs,R,Auburn,LAC
,Ladd McConkey15,WR,23,"6' 0""",185 lbs,R,Georgia,LAC
,Jalen Reagor89,WR,26,"5' 11""",197 lbs,5,TCU,LAC
,Brenden Rice82,WR,23,"6' 3""",210 lbs,R,USC,LAC
,Mike Williams,WR,30,"6' 3""",220 lbs,8,Clemson,LAC
,McCallan Castles46,TE,25,"6' 4""",250 lbs,R,Tennessee,LAC
,Tyler Conklin,TE,29,"6' 3""",248 lbs,8,Central Michigan,LAC
,Will Dissly81,TE,28,"6' 4""",265 lbs,7,Washington,LAC
,Tucker Fisk42,TE,26,"6' 4""",285 lbs,1,Stanford,LAC
,Oronde Gadsden II,TE,21,"6' 5""",236 lbs,R,Syracuse,LAC
,Stevo Klotz,TE,--,"6' 4""",260 lbs,R,Iowa State,LAC
,Jordan Petaia,TE,--,"6' 3""",226 lbs,R,--,LAC
,Bradley Bozeman75,C,30,"6' 3""",317 lbs,7,Alabama,LAC
,Andre James,C,28,"6' 4""",300 lbs,7,UCLA,LAC
,Josh Kaltenberger,C,--,"6' 6""",308 lbs,R,Maryland,LAC
,Karsen Barnhart61,G,24,"6' 5""",316 lbs,R,Michigan,LAC
,Zion Johnson77,G,25,"6' 3""",316 lbs,3,Boston College,LAC
,Nash Jones,G,--,"6' 5""",320 lbs,R,Texas State,LAC
,Jamaree Salyer68,G,24,"6' 4""",325 lbs,3,Georgia,LAC
,Joe Alt76,OT,22,"6' 8""",322 lbs,R,Notre Dame,LAC
,Mekhi Becton,OT,26,"6' 7""",363 lbs,5,Louisville,LAC
,Tyler McLellan74,OT,25,"6' 8""",355 lbs,R,Campbell,LAC
,Trey Pipkins III79,OT,28,"6' 6""",307 lbs,6,Sioux Falls,LAC
,Rashawn Slater70,OT,26,"6' 4""",315 lbs,4,Northwestern,LAC
,Corey Stewart,OT,--,"6' 6""",318 lbs,R,Purdue,LAC
,Branson Taylor,OT,23,"6' 6""",330 lbs,R,Pittsburgh,LAC
,Savion Washington,OT,--,"6' 8""",340 lbs,R,Syracuse,LAC
,Stetson Bennett13,QB,27,"5' 11""",190 lbs,1,Georgia,LAR
,Jimmy Garoppolo11,QB,33,"6' 2""",225 lbs,11,Eastern Illinois,LAR
,Matthew Stafford9,QB,37,"6' 3""",214 lbs,16,Georgia,LAR
,Blake Corum22,RB,24,"5' 8""",210 lbs,R,Michigan,LAR
,Jarquez Hunter,RB,22,"5' 10""",209 lbs,R,Auburn,LAR
,Ronnie Rivers20,RB,26,"5' 9""",192 lbs,3,Fresno State,LAR
,Cody Schrader32,RB,25,"5' 9""",214 lbs,R,Missouri,LAR
,Jordan Waters,RB,--,"6' 0""",215 lbs,R,Northern Illinois,LAR
,Kyren Williams23,RB,24,"5' 9""",202 lbs,3,Notre Dame,LAR
,Davante Adams17,WR,32,"6' 1""",215 lbs,11,Fresno State,LAR
,Tutu Atwell5,WR,25,"5' 9""",165 lbs,4,Louisville,LAR
,Quintez Cephus2,WR,27,"6' 1""",208 lbs,4,Wisconsin,LAR
,Britain Covey,WR,28,"5' 8""",173 lbs,3,Utah,LAR
,Tru Edwards,WR,23,"6' 3""",201 lbs,R,Louisiana Tech,LAR
,Konata Mumpfield,WR,22,"6' 1""",185 lbs,R,Pittsburgh,LAR
,Puka Nacua12,WR,23,"6' 2""",212 lbs,2,BYU,LAR
,Brennan Presley,WR,--,"5' 8""",175 lbs,R,Oklahoma State,LAR
,Xavier Smith19,WR,27,"5' 9""",176 lbs,1,Florida A&M,LAR
,Drake Stoops6,WR,25,"5' 10""",189 lbs,R,Oklahoma,LAR
,Jordan Whittington88,WR,24,"6' 1""",202 lbs,R,Texas,LAR
,Mario Williams,WR,--,"5' 9""",178 lbs,R,Tulane,LAR
,Davis Allen87,TE,24,"6' 6""",251 lbs,2,Clemson,LAR
,Terrance Ferguson,TE,22,"6' 5""",255 lbs,R,Oregon,LAR
,Tyler Higbee89,TE,32,"6' 6""",255 lbs,9,Western Kentucky,LAR
,Colby Parkinson86,TE,26,"6' 7""",265 lbs,5,Stanford,LAR
,Mark Redman,TE,--,"6' 5""",255 lbs,R,Louisville,LAR
,Anthony Torres,TE,--,"6' 6""",250 lbs,R,Toledo,LAR
,Beaux Limmer50,C,23,"6' 5""",312 lbs,R,Arkansas,LAR
,Dylan McMahon63,C,24,"6' 3""",298 lbs,R,NC State,LAR
,Coleman Shelton,C,29,"6' 5""",285 lbs,6,Washington,LAR
,Steve Avila73,G,25,"6' 3""",338 lbs,2,TCU,LAR
,Wyatt Bowles,G,--,"6' 5""",300 lbs,R,Utah State,LAR
,Justin Dedich67,G,25,"6' 2""",300 lbs,R,USC,LAR
,Kevin Dotson69,G,28,"6' 4""",330 lbs,5,Louisiana,LAR
,KT Leveston66,G,25,"6' 4""",336 lbs,R,Kansas State,LAR
,Trey Wedig,G,--,"6' 7""",319 lbs,R,Indiana,LAR
,Ben Dooley,OL,--,"6' 5""",310 lbs,R,Boise State,LAR
,Willie Lampkin,OL,--,"5' 11""",290 lbs,R,North Carolina,LAR
,AJ Arcuri61,OT,27,"6' 7""",308 lbs,2,Michigan State,LAR
,Rob Havenstein79,OT,33,"6' 8""",323 lbs,10,Wisconsin,LAR
,Alaric Jackson77,OT,26,"6' 7""",345 lbs,4,Iowa,LAR
,Warren McClendon Jr.71,OT,24,"6' 4""",317 lbs,2,Georgia,LAR
,Quinn Ewers,QB,22,"6' 2""",210 lbs,R,Texas,MIA
,Tua Tagovailoa1,QB,27,"6' 1""",225 lbs,5,Alabama,MIA
,Zach Wilson,QB,25,"6' 2""",214 lbs,4,BYU,MIA
,De'Von Achane28,RB,23,"5' 9""",188 lbs,2,Texas A&M,MIA
,Ollie Gordon II,RB,21,"6' 2""",225 lbs,R,Oklahoma State,MIA
,Alexander Mattison,RB,26,"5' 11""",220 lbs,6,Boise State,MIA
,Nate Noel,RB,--,"5' 10""",190 lbs,R,Missouri,MIA
,Jaylen Wright25,RB,22,"5' 10""",210 lbs,R,Tennessee,MIA
,Alec Ingold30,FB,28,"6' 1""",232 lbs,6,Wisconsin,MIA
,Andrew Armstrong,WR,--,"6' 4""",202 lbs,R,Arkansas,MIA
,Monaray Baldwin,WR,--,"5' 9""",172 lbs,R,Baylor,MIA
,Tarik Black86,WR,27,"6' 3""",213 lbs,1,Texas,MIA
,Dee Eskridge82,WR,28,"5' 9""",190 lbs,4,Western Michigan,MIA
,Erik Ezukanma84,WR,25,"6' 2""",206 lbs,3,Texas Tech,MIA
,A.J. Henning,WR,--,"5' 10""",192 lbs,R,Northwestern,MIA
,Tyreek Hill10,WR,31,"5' 10""",191 lbs,9,West Alabama,MIA
,Jaylen Waddle17,WR,26,"5' 10""",185 lbs,4,Alabama,MIA
,Malik Washington83,WR,24,"5' 8""",191 lbs,R,Virginia,MIA
,Tahj Washington82,WR,23,"5' 10""",174 lbs,R,USC,MIA
,Theo Wease Jr.,WR,--,"6' 2""",192 lbs,R,Missouri,MIA
,Nick Westbrook-Ikhine,WR,28,"6' 2""",211 lbs,5,Indiana,MIA
,Pharaoh Brown,TE,31,"6' 5""",246 lbs,7,Oregon,MIA
,Tanner Conner80,TE,27,"6' 3""",232 lbs,2,Idaho State,MIA
,Jalin Conyers,TE,--,"6' 4""",265 lbs,R,Texas Tech,MIA
,Julian Hill89,TE,24,"6' 4""",251 lbs,2,Campbell,MIA
,Hayden Rucci87,TE,24,"6' 5""",247 lbs,R,Wisconsin,MIA
,Jonnu Smith9,TE,29,"6' 3""",248 lbs,8,Florida International,MIA
,Sean Harlow64,C,30,"6' 4""",284 lbs,4,Oregon State,MIA
,Andrew Meyer60,C,25,"6' 3""",295 lbs,R,UTEP,MIA
,Aaron Brewer55,G,27,"6' 1""",295 lbs,5,Texas State,MIA
,James Daniels,G,27,"6' 4""",327 lbs,7,Iowa,MIA
,Austin Jackson73,G,25,"6' 5""",320 lbs,5,USC,MIA
,Jonah Savaiinaea,G,21,"6' 5""",336 lbs,R,Arizona,MIA
,Tedi Kushi,OL,--,"6' 7""",305 lbs,R,Western Michigan,MIA
,Josh Priebe,OL,--,"6' 5""",306 lbs,R,Michigan,MIA
,Addison West,OL,--,"6' 3""",305 lbs,R,Western Michigan,MIA
,Larry Borom,OT,26,"6' 5""",333 lbs,4,Missouri,MIA
,Jackson Carman76,OT,25,"6' 5""",322 lbs,4,Clemson,MIA
,Braeden Daniels66,OT,24,"6' 4""",297 lbs,2,Utah,MIA
,Liam Eichenberg74,OT,27,"6' 6""",306 lbs,4,Notre Dame,MIA
,Ryan Hayes78,OT,25,"6' 6""",303 lbs,1,Michigan,MIA
,Bayron Matos79,OT,24,"6' 7""",334 lbs,R,South Florida,MIA
,Patrick Paul52,OT,23,"6' 7""",331 lbs,R,Houston,MIA
,Kion Smith71,OT,26,"6' 5""",306 lbs,2,Fayetteville State,MIA
,Max Brosmer,QB,24,"6' 2""",225 lbs,R,Minnesota,MIN
,Sam Howell,QB,24,"6' 1""",220 lbs,3,North Carolina,MIN
,J.J. McCarthy9,QB,22,"6' 3""",219 lbs,R,Michigan,MIN
,Brett Rypien19,QB,28,"6' 2""",210 lbs,6,Boise State,MIN
,Ty Chandler32,RB,27,"5' 11""",204 lbs,3,North Carolina,MIN
,Aaron Jones33,RB,30,"5' 9""",208 lbs,8,UTEP,MIN
,Jordan Mason24,RB,25,"5' 11""",223 lbs,3,Georgia Tech,MIN
,Zavier Scott36,RB,25,"6' 1""",219 lbs,1,Maine,MIN
,Tre Stewart,RB,22,"5' 10""",192 lbs,R,Jacksonville State,MIN
,C.J. Ham30,FB,31,"5' 11""",250 lbs,8,Augustana University (SD),MIN
,Jordan Addison3,WR,23,"5' 11""",175 lbs,2,USC,MIN
,Silas Bolden,WR,--,"5' 8""",160 lbs,R,Texas,MIN
,Tai Felton,WR,22,"6' 2""",181 lbs,R,Maryland,MIN
,Dontae Fleming,WR,23,"6' 2""",167 lbs,R,Tulane,MIN
,Lucky Jackson81,WR,27,"6' 0""",186 lbs,1,Western Kentucky,MIN
,Justin Jefferson18,WR,25,"6' 1""",195 lbs,5,LSU,MIN
,Jeshaun Jones82,WR,25,"6' 1""",188 lbs,R,Maryland,MIN
,Tim Jones,WR,26,"6' 1""",200 lbs,3,Southern Miss,MIN
,Robert Lewis,WR,--,"5' 10""",188 lbs,R,Auburn,MIN
,Rondale Moore,WR,24,"5' 7""",181 lbs,4,Purdue,MIN
,Jalen Nailor83,WR,26,"6' 0""",190 lbs,3,Michigan State,MIN
,Myles Price,WR,--,"5' 9""",183 lbs,R,Indiana,MIN
,Thayer Thomas89,WR,26,"6' 0""",195 lbs,1,NC State,MIN
,Gavin Bartholomew,TE,22,"6' 5""",250 lbs,R,Pittsburgh,MIN
,T.J. Hockenson87,TE,27,"6' 5""",248 lbs,6,Iowa,MIN
,Bryson Nesbit,TE,22,"6' 5""",235 lbs,R,North Carolina,MIN
,Josh Oliver84,TE,28,"6' 5""",259 lbs,6,San José State,MIN
,Ben Yurosek,TE,23,"6' 4""",245 lbs,R,Georgia,MIN
,Zeke Correll,C,--,"6' 3""",307 lbs,R,NC State,MIN
,Michael Jurgens65,C,25,"6' 4""",311 lbs,R,Wake Forest,MIN
,Ryan Kelly,C,31,"6' 4""",307 lbs,9,Alabama,MIN
,Blake Brandel64,G,28,"6' 7""",315 lbs,4,Oregon State,MIN
,Henry Byrd68,G,25,"6' 5""",310 lbs,1,Princeton,MIN
,Will Fries,G,27,"6' 6""",305 lbs,4,Penn State,MIN
,Joe Huber,G,--,"6' 5""",310 lbs,R,Wisconsin,MIN
,Donovan Jackson,G,22,"6' 4""",320 lbs,R,Ohio State,MIN
,Christian Darrisaw71,OT,25,"6' 5""",315 lbs,4,Virginia Tech,MIN
,Marcellus Johnson72,OT,25,"6' 4""",307 lbs,R,Missouri,MIN
,Brian O'Neill75,OT,29,"6' 7""",310 lbs,7,Pittsburgh,MIN
,Walter Rouse78,OT,24,"6' 6""",313 lbs,R,Oklahoma,MIN
,Justin Skule77,OT,28,"6' 6""",315 lbs,6,Vanderbilt,MIN
,Leroy Watson IV72,OT,26,"6' 5""",310 lbs,2,UTSA,MIN
,Joshua Dobbs11,QB,30,"6' 3""",220 lbs,8,Tennessee,NWE
,Drake Maye10,QB,22,"6' 4""",225 lbs,R,North Carolina,NWE
,Ben Wooldridge,QB,--,"6' 3""",216 lbs,R,Louisiana,NWE
,Antonio Gibson4,RB,26,"6' 0""",228 lbs,5,Memphis,NWE
,TreVeyon Henderson,RB,22,"5' 10""",208 lbs,R,Ohio State,NWE
,Terrell Jennings26,RB,24,"6' 0""",217 lbs,R,Florida A&M,NWE
,Lan Larison,RB,--,"6' 0""",215 lbs,R,UC Davis,NWE
,Rhamondre Stevenson38,RB,27,"6' 0""",227 lbs,4,Oklahoma,NWE
,Trayveon Williams32,RB,27,"5' 8""",210 lbs,R,Texas A&M,NWE
,Brock Lampe,FB,--,"6' 1""",252 lbs,R,Northern Illinois,NWE
,Javon Baker6,WR,23,"6' 1""",202 lbs,R,UCF,NWE
,Demeer Blankumsee,WR,--,"5' 10""",185 lbs,R,Memphis,NWE
,Kendrick Bourne84,WR,29,"6' 1""",205 lbs,8,Eastern Washington,NWE
,Kayshon Boutte9,WR,23,"5' 11""",197 lbs,2,LSU,NWE
,Efton Chism III,WR,--,"5' 11""",200 lbs,R,Eastern Washington,NWE
,Stefon Diggs,WR,31,"6' 0""",191 lbs,11,Maryland,NWE
,DeMario Douglas3,WR,24,"5' 8""",192 lbs,2,Liberty,NWE
,Mack Hollins13,WR,31,"6' 4""",221 lbs,8,North Carolina,NWE
,Jalen Hurd13,WR,29,"6' 5""",230 lbs,4,Baylor,NWE
,John Jiles83,WR,24,"6' 3""",220 lbs,R,West Florida,NWE
,Ja'Lynn Polk1,WR,23,"6' 1""",203 lbs,R,Washington,NWE
,Jeremiah Webb,WR,--,"6' 0""",196 lbs,R,South Alabama,NWE
,Kyle Williams,WR,22,"6' 0""",186 lbs,R,Washington State,NWE
,Jaheim Bell88,TE,23,"6' 2""",241 lbs,R,Florida State,NWE
,Hunter Henry85,TE,30,"6' 5""",249 lbs,9,Arkansas,NWE
,Austin Hooper81,TE,30,"6' 4""",254 lbs,9,Stanford,NWE
,Gee Scott Jr.,TE,--,"6' 3""",243 lbs,R,Ohio State,NWE
,Jack Westover87,TE,25,"6' 2""",245 lbs,R,Washington,NWE
,Mitchell Wilcox86,TE,28,"6' 4""",250 lbs,4,South Florida,NWE
,Garrett Bradbury55,C,29,"6' 3""",300 lbs,7,NC State,NWE
,Ben Brown77,C,26,"6' 5""",313 lbs,2,Ole Miss,NWE
,Jared Wilson,C,21,"6' 3""",310 lbs,R,Georgia,NWE
,Mehki Butler,G,--,"6' 3""",320 lbs,R,Arkansas State,NWE
,Layden Robinson64,G,24,"6' 3""",311 lbs,R,Texas A&M,NWE
,Tyrese Robinson65,G,25,"6' 3""",319 lbs,1,Oklahoma,NWE
,Wes Schweitzer66,G,31,"6' 4""",300 lbs,9,San José State,NWE
,Sidy Sow62,G,26,"6' 5""",318 lbs,2,Eastern Michigan,NWE
,Cole Strange69,G,26,"6' 5""",310 lbs,3,Chattanooga,NWE
,Jack Conley,OL,--,"6' 7""",325 lbs,R,Boston College,NWE
,Marcus Bryant,OT,22,"6' 8""",318 lbs,R,Missouri,NWE
,Will Campbell66,OT,21,"6' 6""",323 lbs,R,LSU,NWE
,Demontrey Jacobs75,OT,26,"6' 6""",315 lbs,1,South Florida,NWE
,Vederian Lowe59,OT,26,"6' 5""",315 lbs,3,Illinois,NWE
,Morgan Moses76,OT,34,"6' 6""",320 lbs,11,Virginia,NWE
,Mike Onwenu71,OT,27,"6' 3""",350 lbs,5,Michigan,NWE
,Caedan Wallace70,OT,25,"6' 5""",314 lbs,R,Penn State,NWE
,Hunter Dekkers,QB,--,"6' 3""",225 lbs,R,Iowa Western Community,NOR
,Jake Haener3,QB,26,"6' 1""",200 lbs,2,Fresno State,NOR
,Spencer Rattler18,QB,24,"6' 0""",211 lbs,R,South Carolina,NOR
,Tyler Shough,QB,25,"6' 5""",225 lbs,R,Louisville,NOR
,Clyde Edwards-Helaire23,RB,26,"5' 7""",207 lbs,5,LSU,NOR
,Alvin Kamara41,RB,29,"5' 10""",215 lbs,8,Tennessee,NOR
,Kendre Miller25,RB,22,"6' 0""",220 lbs,2,TCU,NOR
,Devin Neal,RB,21,"5' 11""",215 lbs,R,Kansas,NOR
,Xazavian Valladay34,RB,26,"6' 0""",198 lbs,1,Arizona State,NOR
,Marcus Yarns,RB,--,"5' 11""",190 lbs,R,Delaware,NOR
,Kevin Austin Jr.81,WR,25,"6' 2""",200 lbs,1,Notre Dame,NOR
,Brandin Cooks,WR,31,"5' 10""",189 lbs,11,Oregon State,NOR
,Moochie Dixon,WR,--,"6' 0""",189 lbs,R,SMU,NOR
,Velus Jones Jr.,WR,28,"6' 0""",200 lbs,4,Tennessee,NOR
,Bub Means16,WR,24,"6' 2""",215 lbs,R,Pittsburgh,NOR
,Chris Olave12,WR,24,"6' 0""",187 lbs,3,Ohio State,NOR
,Dante Pettis17,WR,29,"6' 1""",195 lbs,6,Washington,NOR
,Rashid Shaheed22,WR,26,"6' 0""",180 lbs,3,Weber State,NOR
,Mason Tipton84,WR,24,"5' 11""",187 lbs,R,Yale,NOR
,Chris Tyree,WR,--,"5' 10""",190 lbs,R,Virginia,NOR
,Cedrick Wilson Jr.11,WR,30,"6' 2""",197 lbs,7,Boise State,NOR
,Taysom Hill7,TE,34,"6' 2""",221 lbs,8,BYU,NOR
,Dallin Holker85,TE,25,"6' 3""",241 lbs,R,Colorado State,NOR
,Michael Jacobson86,TE,28,"6' 7""",244 lbs,1,Iowa State,NOR
,Juwan Johnson83,TE,28,"6' 4""",231 lbs,5,Oregon,NOR
,Moliki Matavao,TE,22,"6' 6""",263 lbs,R,UCLA,NOR
,Foster Moreau87,TE,28,"6' 4""",250 lbs,6,LSU,NOR
,Jack Stoll,TE,27,"6' 4""",247 lbs,4,Nebraska,NOR
,Treyton Welch82,TE,24,"6' 4""",240 lbs,R,Wyoming,NOR
,Will Clapp,C,28,"6' 5""",311 lbs,7,LSU,NOR
,Erik McCoy78,C,27,"6' 4""",303 lbs,6,Texas A&M,NOR
,Cesar Ruiz51,C,25,"6' 4""",316 lbs,5,Michigan,NOR
,Torricelli Simpkins III,C,--,"6' 5""",319 lbs,R,South Carolina,NOR
,Kyle Hergel60,G,25,"6' 2""",315 lbs,R,Boston College,NOR
,Josh Ball79,OT,26,"6' 8""",304 lbs,4,Marshall,NOR
,Kelvin Banks Jr.,OT,21,"6' 4""",320 lbs,R,Texas,NOR
,Josiah Ezirim72,OT,23,"6' 6""",329 lbs,R,Eastern Kentucky,NOR
,Taliese Fuaga75,OT,23,"6' 6""",324 lbs,R,Oregon State,NOR
,Easton Kilty,OT,--,"6' 6""",307 lbs,R,Kansas State,NOR
,Trevor Penning70,OT,25,"6' 7""",325 lbs,3,Northern Iowa,NOR
,Dillon Radunz75,OT,27,"6' 6""",301 lbs,4,North Dakota State,NOR
,Nick Saldiveri64,OT,24,"6' 6""",316 lbs,2,Old Dominion,NOR
,Landon Young67,OT,27,"6' 7""",321 lbs,4,Kentucky,NOR
,Jaxson Dart,QB,22,"6' 2""",225 lbs,R,Ole Miss,NYG
,Tommy DeVito15,QB,26,"6' 2""",210 lbs,2,Illinois,NYG
,Russell Wilson3,QB,36,"5' 11""",206 lbs,14,Wisconsin,NYG
,Jameis Winston,QB,31,"6' 4""",230 lbs,10,Florida State,NYG
,Rushawn Baker,RB,--,"6' 0""",225 lbs,R,Elon,NYG
,Eric Gray20,RB,25,"5' 10""",211 lbs,2,Oklahoma,NYG
,Dante Miller25,RB,26,"5' 9""",200 lbs,R,South Carolina,NYG
,Devin Singletary26,RB,27,"5' 7""",203 lbs,6,Florida Atlantic,NYG
,Cam Skattebo,RB,23,"5' 11""",215 lbs,R,Arizona State,NYG
,Tyrone Tracy Jr.29,RB,25,"5' 11""",210 lbs,R,Purdue,NYG
,Jordan Bly,WR,--,--,170 lbs,R,Gardner-Webb,NYG
,Dalen Cambre,WR,24,"6' 0""",192 lbs,R,Louisiana,NYG
,Beaux Collins,WR,--,"6' 3""",202 lbs,R,Notre Dame,NYG
,Da'Quan Felton,WR,--,"6' 5""",216 lbs,R,Virginia Tech,NYG
,Bryce Ford-Wheaton88,WR,25,"6' 3""",220 lbs,2,West Virginia,NYG
,Lil'Jordan Humphrey,WR,27,"6' 4""",225 lbs,5,Texas,NYG
,Jalin Hyatt13,WR,23,"6' 0""",185 lbs,2,Tennessee,NYG
,Nate McCollum,WR,--,"5' 9""",185 lbs,R,North Carolina,NYG
,Malik Nabers1,WR,21,"6' 0""",200 lbs,R,LSU,NYG
,Zach Pascal,WR,30,"6' 2""",215 lbs,7,Old Dominion,NYG
,Wan'Dale Robinson17,WR,24,"5' 8""",185 lbs,3,Kentucky,NYG
,Darius Slayton86,WR,28,"6' 1""",198 lbs,6,Auburn,NYG
,Ihmir Smith-Marsette87,WR,25,"6' 1""",185 lbs,4,Iowa,NYG
,Montrell Washington,WR,26,"5' 10""",170 lbs,3,Samford,NYG
,Antwane Wells Jr.,WR,--,"6' 0""",205 lbs,R,Ole Miss,NYG
,Daniel Bellinger82,TE,24,"6' 6""",255 lbs,3,San Diego State,NYG
,Greg Dulcich89,TE,25,"6' 4""",245 lbs,3,UCLA,NYG
,Thomas Fidone II,TE,22,"6' 6""",255 lbs,R,Nebraska,NYG
,Theo Johnson84,TE,24,"6' 6""",264 lbs,R,Penn State,NYG
,Chris Manhertz85,TE,33,"6' 6""",235 lbs,9,Canisius,NYG
,Jermaine Terry II,TE,--,"6' 4""",245 lbs,R,Oregon State,NYG
,Bryan Hudson60,C,24,"6' 5""",305 lbs,R,Louisville,NYG
,Jimmy Morrissey67,C,26,"6' 4""",305 lbs,3,Pittsburgh,NYG
,Austin Schlottmann65,C,29,"6' 6""",300 lbs,6,TCU,NYG
,John Michael Schmitz Jr.61,C,26,"6' 4""",320 lbs,2,Minnesota,NYG
,Jermaine Eluemunor72,G,30,"6' 4""",338 lbs,8,Texas A&M,NYG
,Joshua Ezeudu75,G,25,"6' 4""",310 lbs,3,North Carolina,NYG
,Jake Kubas63,G,24,"6' 4""",308 lbs,R,North Dakota State,NYG
,Marcus Mbow,G,22,"6' 5""",300 lbs,R,Purdue,NYG
,Jon Runyan76,G,27,"6' 4""",307 lbs,5,Michigan,NYG
,Aaron Stinnie64,G,31,"6' 3""",312 lbs,7,James Madison,NYG
,Greg Van Roten74,G,35,"6' 4""",295 lbs,10,Pennsylvania,NYG
,Jaison Williams,OL,--,"6' 4""",320 lbs,R,Youngstown State,NYG
,Stone Forsythe78,OT,27,"6' 8""",307 lbs,4,Florida,NYG
