,Name,POS,Age,HT,WT,Exp,College,Team
,Corey Bullock67,OT,23,"6' 3""",314 lbs,R,Maryland,BAL
,Gerad Christian-Lichtenhan,OT,--,"6' 9""",329 lbs,R,Oregon State,BAL
,Daniel Faalele77,OT,25,"6' 8""",380 lbs,3,Minnesota,BAL
,Reid Holskey,OT,--,"6' 6""",306 lbs,R,Miami (OH),BAL
,Ozzie Hutchinson,OT,--,"6' 4""",305 lbs,R,UAlbany,BAL
,Emery Jones Jr.,OT,21,"6' 6""",315 lbs,R,LSU,BAL
,Joe Noteboom70,OT,29,"6' 5""",300 lbs,7,TCU,BAL
,Jared Penning,OT,--,"6' 6""",338 lbs,R,Northern Iowa,BAL
,Roger Rosengarten70,OT,22,"6' 5""",316 lbs,R,Washington,BAL
,Ronnie Stanley79,OT,31,"6' 6""",310 lbs,9,Notre Dame,BAL
,Carson Vinson,OT,23,"6' 6""",305 lbs,R,Alabama A&M,BAL
,Josh Allen17,QB,28,"6' 5""",237 lbs,7,Wyoming,BUF
,Shane Buechele6,QB,27,"6' 0""",210 lbs,3,SMU,BUF
,Mitchell Trubisky11,QB,30,"6' 3""",222 lbs,8,North Carolina,BUF
,Mike White14,QB,30,"6' 5""",220 lbs,6,Western Kentucky,BUF
,James Cook4,RB,25,"5' 11""",190 lbs,3,Georgia,BUF
,Ray Davis22,RB,25,"5' 8""",220 lbs,R,Kentucky,BUF
,Darrynton Evans,RB,26,"5' 10""",203 lbs,5,App State,BUF
,Frank Gore Jr.20,RB,23,"5' 8""",195 lbs,R,Southern Miss,BUF
,Ty Johnson26,RB,27,"5' 10""",210 lbs,6,Maryland,BUF
,Reggie Gilliam41,FB,27,"6' 0""",244 lbs,5,Toledo,BUF
,Kelly Akharaiyi,WR,--,"6' 1""",200 lbs,R,Mississippi State,BUF
,Keon Coleman0,WR,21,"6' 4""",215 lbs,R,Florida State,BUF
,Stephen Gosnell,WR,--,"6' 2""",198 lbs,R,Virginia Tech,BUF
,KJ Hamler19,WR,25,"5' 9""",178 lbs,4,Penn State,BUF
,Elijah Moore,WR,25,"5' 10""",180 lbs,4,Ole Miss,BUF
,Joshua Palmer5,WR,25,"6' 1""",210 lbs,4,Tennessee,BUF
,Kaden Prather,WR,22,"6' 3""",210 lbs,R,Maryland,BUF
,Hal Presley,WR,--,"6' 3""",210 lbs,R,Baylor,BUF
,Curtis Samuel1,WR,28,"5' 11""",195 lbs,8,Ohio State,BUF
,Khalil Shakir10,WR,25,"6' 0""",190 lbs,3,Boise State,BUF
,Tyrell Shavers80,WR,25,"6' 4""",211 lbs,1,Middle Tennessee,BUF
,Laviska Shenault Jr.,WR,26,"6' 1""",225 lbs,6,Colorado,BUF
,Jalen Virgil89,WR,26,"6' 1""",210 lbs,3,App State,BUF
,Zach Davidson84,TE,26,"6' 7""",251 lbs,2,Central Missouri State,BUF
,Jackson Hawes,TE,24,"6' 5""",260 lbs,R,Georgia Tech,BUF
,Dalton Kincaid86,TE,25,"6' 4""",240 lbs,2,Utah,BUF
,Dawson Knox88,TE,28,"6' 4""",254 lbs,6,Ole Miss,BUF
,Keleki Latu,TE,22,"6' 7""",244 lbs,R,Washington,BUF
,Jacob Bayer,C,22,"6' 3""",310 lbs,R,Arkansas State,BUF
,Sedrick Van Pran-Granger62,C,23,"6' 4""",310 lbs,R,Georgia,BUF
,David Edwards76,G,28,"6' 6""",308 lbs,6,Wisconsin,BUF
,Kendrick Green,G,26,"6' 3""",310 lbs,4,Illinois,BUF
,Connor McGovern66,G,27,"6' 5""",318 lbs,6,Penn State,BUF
,O'Cyrus Torrence64,G,25,"6' 5""",347 lbs,2,Florida,BUF
,Gerquan Scott,OL,--,"6' 3""",320 lbs,R,Ole Miss,BUF
,Alec Anderson70,OT,25,"6' 5""",305 lbs,2,UCLA,BUF
,Spencer Brown79,OT,27,"6' 8""",311 lbs,4,Northern Iowa,BUF
,Travis Clayton67,OT,24,"6' 7""",301 lbs,R,--,BUF
,Dion Dawkins73,OT,31,"6' 5""",320 lbs,8,Temple,BUF
,Mike Edwards65,OT,26,"6' 5""",363 lbs,R,Campbell,BUF
,Richard Gouraige75,OT,26,"6' 5""",306 lbs,1,Florida,BUF
,Tylan Grable68,OT,25,"6' 5""",309 lbs,R,UCF,BUF
,Chase Lundt,OT,24,"6' 8""",305 lbs,R,UConn,BUF
,Rush Reimer,OT,--,"6' 5""",305 lbs,R,California,BUF
,Ryan Van Demark74,OT,27,"6' 6""",307 lbs,2,UConn,BUF
,Andy Dalton14,QB,37,"6' 2""",220 lbs,14,TCU,CAR
,Ethan Garbers,QB,--,"6' 3""",210 lbs,R,UCLA,CAR
,Jack Plummer16,QB,25,"6' 5""",215 lbs,R,Louisville,CAR
,Bryce Young9,QB,23,"5' 10""",204 lbs,2,Alabama,CAR
,Emani Bailey39,RB,23,"5' 7""",202 lbs,R,TCU,CAR
