Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD
2014*,Iowa,Big Ten,JR,QB,12,213,345,61.7,2436,16,4.6,5,1.4,7.1,7.34,11.4,203.0,133.5,,Jake Rudock,,,,,,,,,,,,,,
2015*,Michigan,Big Ten,SR,QB,13,249,389,64.0,3017,20,5.1,9,2.3,7.8,7.74,12.1,232.1,141.5,,Jake Rudock,,,,,,,,,,,,,,
2012,Arkansas,SEC,FR,QB,5,21,49,42.9,186,1,2.0,3,6.1,3.8,1.45,8.9,37.2,69.2,,Brandon Allen,,,,,,,,,,,,,,
2013,Arkansas,SEC,SO,QB,11,128,258,49.6,1552,13,5.0,10,3.9,6.0,5.28,12.1,141.1,109.0,,Brandon Allen,,,,,,,,,,,,,,
2014*,Arkansas,SEC,JR,QB,13,190,339,56.0,2285,20,5.9,5,1.5,6.7,7.26,12.0,175.8,129.2,,Brandon Allen,,,,,,,,,,,,,,
2015*,Arkansas,SEC,SR,QB,13,244,370,65.9,3440,30,8.1,8,2.2,9.3,9.95,14.1,264.6,166.5,,Brandon Allen,,,,,,,,,,,,,,
2011*,Florida,SEC,FR,QB,5,16,34,47.1,148,0,0.0,2,5.9,4.4,1.71,9.3,29.6,71.9,,Jeff Driskel,,,,,,,,,,,,,,
2012*,Florida,SEC,SO,QB,12,156,245,63.7,1646,12,4.9,5,2.0,6.7,6.78,10.6,137.2,132.2,,Jeff Driskel,,,,,,,,,,,,,,
2013,Florida,SEC,JR,QB,3,42,61,68.9,477,2,3.3,3,4.9,7.8,6.26,11.4,159.0,135.5,,Jeff Driskel,,,,,,,,,,,,,,
2014*,Florida,SEC,JR,QB,9,114,212,53.8,1140,9,4.2,10,4.7,5.4,4.10,10.0,126.7,103.5,,Jeff Driskel,,,,,,,,,,,,,,
2015*,Louisiana Tech,CUSA,SR,QB,13,281,450,62.4,4033,27,6.0,8,1.8,9.0,9.36,14.4,310.2,154.0,,Jeff Driskel,,,,,,,,,,,,,,
2011,Western Kentucky,Sun Belt,FR,QB,2,13,22,59.1,106,0,0.0,1,4.5,4.8,2.77,8.2,53.0,90.5,,Brandon Doughty,,,,,,,,,,,,,,
2012*,Western Kentucky,Sun Belt,SO,QB,2,1,3,33.3,7,0,0.0,0,0.0,2.3,2.33,7.0,3.5,52.9,,Brandon Doughty,,,,,,,,,,,,,,
2013,Western Kentucky,Sun Belt,JR,QB,12,246,374,65.8,2857,14,3.7,14,3.7,7.6,6.70,11.6,238.1,134.8,,Brandon Doughty,,,,,,,,,,,,,,
2014*,Western Kentucky,CUSA,SR,QB,13,375,552,67.9,4830,49,8.9,10,1.8,8.8,9.71,12.9,371.5,167.1,,Brandon Doughty,,,,,,,,,,,,,,
2015*,Western Kentucky,CUSA,SR,QB,14,388,540,71.9,5055,48,8.9,9,1.7,9.4,10.39,13.0,361.1,176.5,,Brandon Doughty,,,,,,,,,,,,,,
2012*,UCLA,Pac-12,FR,QB,9,,,,,,,,,,,,,,,Devin Fuller,1,0,0.0,0,0.0,20,145,7.3,2,16.1,21,145,6.9,2
2013*,UCLA,Pac-12,SO,WR,12,,,,,,,,,,,,,,,Devin Fuller,4,8,2.0,1,0.7,43,471,11.0,4,39.3,47,479,10.2,5
2014*,UCLA,Pac-12,JR,WR,13,,,,,,,,,,,,,,,Devin Fuller,1,-2,-2.0,0,-0.2,59,447,7.6,1,34.4,60,445,7.4,1
2015*,UCLA,Pac-12,SR,WR,11,,,,,,,,,,,,,,,Devin Fuller,0,0,,0,0.0,24,259,10.8,3,23.5,24,259,10.8,3
